source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,339.0,339.0,,"[0, 1]","[0, 1]",
0,2,882.0,882.0,,"[0, 10, 2]","[0, 10, 2]",
0,3,310.0,310.0,,"[0, 3]","[0, 3]",
0,4,1011.0,1011.0,,"[0, 14, 4]","[0, 14, 4]",
0,5,1064.0,1064.0,,"[0, 14, 5]","[0, 14, 5]",
0,6,529.0,529.0,,"[0, 10, 6]","[0, 10, 6]",
0,7,704.0,704.0,,"[0, 8, 7]","[0, 8, 7]",
0,8,471.0,471.0,,"[0, 8]","[0, 8]",
0,9,297.0,297.0,,"[0, 10, 9]","[0, 10, 9]",
0,10,26.0,26.0,,"[0, 10]","[0, 10]",
0,11,1490.0,1490.0,,"[0, 14, 11]","[0, 14, 11]",
0,12,830.0,830.0,,"[0, 10, 9, 12]","[0, 10, 9, 12]",
0,13,533.0,533.0,,"[0, 13]","[0, 13]",
0,14,707.0,707.0,,"[0, 14]","[0, 14]",
0,15,564.0,564.0,,"[0, 3, 15]","[0, 3, 15]",
0,16,1012.0,1012.0,,"[0, 13, 17, 16]","[0, 13, 17, 16]",
0,17,716.0,716.0,,"[0, 13, 17]","[0, 13, 17]",
0,18,1000.0,1000.0,,"[0, 3, 18]","[0, 3, 18]",
0,19,1139.0,1139.0,,"[0, 8, 19]","[0, 8, 19]",
1,0,733.0,733.0,,"[1, 12, 0]","[1, 12, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,1566.0,1566.0,,"[1, 12, 2]","[1, 12, 2]",
1,3,1043.0,1043.0,,"[1, 12, 0, 3]","[1, 12, 0, 3]",
1,4,1411.0,1411.0,,"[1, 8, 18, 4]","[1, 8, 18, 4]",
1,5,1632.0,1632.0,,"[1, 8, 19, 5]","[1, 8, 19, 5]",
1,6,1262.0,1262.0,,"[1, 12, 0, 10, 6]","[1, 12, 0, 10, 6]",
1,7,842.0,842.0,,"[1, 8, 7]","[1, 8, 7]",
1,8,609.0,609.0,,"[1, 8]","[1, 8]",
1,9,1030.0,1030.0,,"[1, 12, 0, 10, 9]","[1, 12, 0, 10, 9]",
1,10,759.0,759.0,,"[1, 12, 0, 10]","[1, 12, 0, 10]",
1,11,2095.0,2095.0,,"[1, 8, 7, 14, 11]","[1, 8, 7, 14, 11]",
1,12,580.0,580.0,,"[1, 12]","[1, 12]",
1,13,709.0,709.0,,"[1, 13]","[1, 13]",
1,14,1312.0,1312.0,,"[1, 8, 7, 14]","[1, 8, 7, 14]",
1,15,1297.0,1297.0,,"[1, 12, 0, 3, 15]","[1, 12, 0, 3, 15]",
1,16,1188.0,1188.0,,"[1, 13, 17, 16]","[1, 13, 17, 16]",
1,17,892.0,892.0,,"[1, 13, 17]","[1, 13, 17]",
1,18,1286.0,1286.0,,"[1, 8, 18]","[1, 8, 18]",
1,19,1277.0,1277.0,,"[1, 8, 19]","[1, 8, 19]",
2,0,1612.0,1612.0,,"[2, 4, 18, 14, 12, 0]","[2, 4, 18, 14, 12, 0]",
2,1,1702.0,1702.0,,"[2, 4, 17, 16, 1]","[2, 4, 17, 16, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,1575.0,1575.0,,"[2, 4, 18, 14, 11, 3]","[2, 4, 18, 14, 11, 3]",
2,4,431.0,431.0,,"[2, 4]","[2, 4]",
2,5,985.0,1040.0,,"[2, 4, 18, 14, 5]","[2, 4, 14, 5]",
2,6,1583.0,1583.0,,"[2, 4, 18, 7, 6]","[2, 4, 18, 7, 6]",
2,7,980.0,980.0,,"[2, 4, 18, 7]","[2, 4, 18, 7]",
2,8,1227.0,1227.0,,"[2, 4, 18, 7, 8]","[2, 4, 18, 7, 8]",
2,9,1457.0,1457.0,,"[2, 4, 18, 10, 9]","[2, 4, 18, 10, 9]",
2,10,1186.0,1186.0,,"[2, 4, 18, 10]","[2, 4, 18, 10]",
2,11,1411.0,1411.0,,"[2, 4, 18, 14, 11]","[2, 4, 18, 14, 11]",
2,12,1459.0,1459.0,,"[2, 4, 18, 14, 12]","[2, 4, 18, 14, 12]",
2,13,1040.0,1040.0,,"[2, 4, 17, 13]","[2, 4, 17, 13]",
2,14,628.0,683.0,,"[2, 4, 18, 14]","[2, 4, 14]",
2,15,1829.0,1829.0,,"[2, 4, 18, 14, 11, 3, 15]","[2, 4, 18, 14, 11, 3, 15]",
2,16,1153.0,1153.0,,"[2, 4, 17, 16]","[2, 4, 17, 16]",
