source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,938.0,938.0,,"[0, 1]","[0, 1]",
0,2,1341.0,1341.0,,"[0, 10, 2]","[0, 10, 2]",
0,3,597.0,597.0,,"[0, 3]","[0, 3]",
0,4,1886.0,1886.0,,"[0, 10, 2, 4]","[0, 10, 2, 4]",
0,5,2078.0,2078.0,,"[0, 14, 5]","[0, 14, 5]",
0,6,1210.0,1210.0,,"[0, 10, 6]","[0, 10, 6]",
0,7,1721.0,1721.0,,"[0, 8, 7]","[0, 8, 7]",
0,8,981.0,981.0,,"[0, 8]","[0, 8]",
0,9,872.0,872.0,,"[0, 10, 9]","[0, 10, 9]",
0,10,246.0,246.0,,"[0, 10]","[0, 10]",
0,11,2235.0,2235.0,,"[0, 14, 11]","[0, 14, 11]",
0,12,1433.0,1433.0,,"[0, 3, 12]","[0, 3, 12]",
0,13,1032.0,1032.0,,"[0, 13]","[0, 13]",
0,14,1230.0,1230.0,,"[0, 14]","[0, 14]",
0,15,1154.0,1154.0,,"[0, 15]","[0, 15]",
0,16,2617.0,2617.0,,"[0, 13, 17, 16]","[0, 13, 17, 16]",
0,17,1726.0,1726.0,,"[0, 13, 17]","[0, 13, 17]",
0,18,1646.0,1646.0,,"[0, 3, 18]","[0, 3, 18]",
0,19,1988.0,1988.0,,"[0, 8, 19]","[0, 8, 19]",
1,0,1471.0,1471.0,,"[1, 12, 0]","[1, 12, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,2381.0,2381.0,,"[1, 13, 2]","[1, 13, 2]",
1,3,2068.0,2068.0,,"[1, 12, 0, 3]","[1, 12, 0, 3]",
1,4,2884.0,2884.0,,"[1, 8, 18, 4]","[1, 8, 18, 4]",
1,5,2670.0,2670.0,,"[1, 8, 19, 5]","[1, 8, 19, 5]",
1,6,2394.0,2394.0,,"[1, 8, 7, 6]","[1, 8, 7, 6]",
1,7,1467.0,1467.0,,"[1, 8, 7]","[1, 8, 7]",
1,8,727.0,727.0,,"[1, 8]","[1, 8]",
1,9,2235.0,2235.0,,"[1, 8, 7, 9]","[1, 8, 7, 9]",
1,10,1717.0,1717.0,,"[1, 12, 0, 10]","[1, 12, 0, 10]",
1,11,3134.0,3134.0,,"[1, 8, 7, 14, 11]","[1, 8, 7, 14, 11]",
1,12,1192.0,1192.0,,"[1, 12]","[1, 12]",
1,13,949.0,949.0,,"[1, 13]","[1, 13]",
1,14,2129.0,2129.0,,"[1, 8, 7, 14]","[1, 8, 7, 14]",
1,15,2176.0,2176.0,,"[1, 13, 15]","[1, 13, 15]",
1,16,2534.0,2534.0,,"[1, 13, 17, 16]","[1, 13, 17, 16]",
1,17,1643.0,1643.0,,"[1, 13, 17]","[1, 13, 17]",
1,18,2061.0,2061.0,,"[1, 8, 18]","[1, 8, 18]",
1,19,1734.0,1734.0,,"[1, 8, 19]","[1, 8, 19]",
2,0,2879.0,2879.0,,"[2, 4, 14, 12, 0]","[2, 4, 14, 12, 0]",
2,1,2973.0,2973.0,,"[2, 4, 17, 16, 1]","[2, 4, 17, 16, 1]",
