source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,inf,inf,,None,None,
0,2,963.0,963.0,,"[0, 2]","[0, 2]",
0,3,1298.0,1298.0,,"[0, 8, 3]","[0, 8, 3]",
0,4,724.0,724.0,,"[0, 4]","[0, 4]",
0,5,1163.0,1163.0,,"[0, 7, 5]","[0, 7, 5]",
0,6,1259.0,1259.0,,"[0, 8, 6]","[0, 8, 6]",
0,7,397.0,397.0,,"[0, 7]","[0, 7]",
0,8,450.0,450.0,,"[0, 8]","[0, 8]",
0,9,1787.0,1787.0,,"[0, 2, 9]","[0, 2, 9]",
1,0,346.0,346.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,981.0,981.0,,"[1, 9, 2]","[1, 9, 2]",
1,3,1644.0,1644.0,,"[1, 0, 8, 3]","[1, 0, 8, 3]",
1,4,1070.0,1070.0,,"[1, 0, 4]","[1, 0, 4]",
1,5,558.0,558.0,,"[1, 5]","[1, 5]",
1,6,481.0,481.0,,"[1, 9, 6]","[1, 9, 6]",
1,7,743.0,743.0,,"[1, 0, 7]","[1, 0, 7]",
1,8,796.0,796.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,140.0,140.0,,"[1, 9]","[1, 9]",
2,0,2583.0,2583.0,,"[2, 9, 7, 4, 0]","[2, 9, 7, 4, 0]",
2,1,inf,inf,,None,None,
2,2,0.0,0.0,,[2],[2],
2,3,2511.0,2511.0,,"[2, 9, 7, 8, 3]","[2, 9, 7, 8, 3]",
2,4,1870.0,1870.0,,"[2, 9, 7, 4]","[2, 9, 7, 4]",
2,5,2220.0,2220.0,,"[2, 9, 7, 5]","[2, 9, 7, 5]",
2,6,1165.0,1165.0,,"[2, 9, 6]","[2, 9, 6]",
2,7,1454.0,1454.0,,"[2, 9, 7]","[2, 9, 7]",
2,8,1663.0,1663.0,,"[2, 9, 7, 8]","[2, 9, 7, 8]",
2,9,824.0,824.0,,"[2, 9]","[2, 9]",
3,0,1500.0,1500.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,inf,inf,,None,None,
3,2,772.0,772.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,787.0,787.0,,"[3, 4]","[3, 4]",
3,5,2663.0,2663.0,,"[3, 4, 0, 7, 5]","[3, 4, 0, 7, 5]",
3,6,1937.0,1937.0,,"[3, 2, 9, 6]","[3, 2, 9, 6]",
3,7,1897.0,1897.0,,"[3, 4, 0, 7]","[3, 4, 0, 7]",
3,8,1950.0,1950.0,,"[3, 4, 0, 8]","[3, 4, 0, 8]",
3,9,1596.0,1596.0,,"[3, 2, 9]","[3, 2, 9]",
4,0,713.0,713.0,,"[4, 0]","[4, 0]",
4,1,inf,inf,,None,None,
4,2,1565.0,1565.0,,"[4, 3, 2]","[4, 3, 2]",
4,3,793.0,793.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,1876.0,1876.0,,"[4, 0, 7, 5]","[4, 0, 7, 5]",
4,6,1972.0,1972.0,,"[4, 0, 8, 6]","[4, 0, 8, 6]",
4,7,1110.0,1110.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,1163.0,1163.0,,"[4, 0, 8]","[4, 0, 8]",
4,9,2389.0,2389.0,,"[4, 3, 2, 9]","[4, 3, 2, 9]",
5,0,1253.0,1253.0,,"[5, 4, 0]","[5, 4, 0]",
5,1,inf,inf,,None,None,
5,2,2105.0,2105.0,,"[5, 4, 3, 2]","[5, 4, 3, 2]",
5,3,1333.0,1333.0,,"[5, 4, 3]","[5, 4, 3]",
5,4,540.0,540.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,2512.0,2512.0,,"[5, 4, 0, 8, 6]","[5, 4, 0, 8, 6]",
5,7,1650.0,1650.0,,"[5, 4, 0, 7]","[5, 4, 0, 7]",
5,8,1703.0,1703.0,,"[5, 4, 0, 8]","[5, 4, 0, 8]",
5,9,2929.0,2929.0,,"[5, 4, 3, 2, 9]","[5, 4, 3, 2, 9]",
6,0,1804.0,1804.0,,"[6, 7, 4, 0]","[6, 7, 4, 0]",
6,1,inf,inf,,None,None,
