source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,339.0,339.0,,"[0, 1]","[0, 1]",
0,2,882.0,882.0,,"[0, 10, 2]","[0, 10, 2]",
0,3,310.0,310.0,,"[0, 3]","[0, 3]",
0,4,712.0,712.0,,"[0, 4]","[0, 4]",
0,5,926.0,926.0,,"[0, 10, 9, 5]","[0, 10, 9, 5]",
0,6,423.0,423.0,,"[0, 3, 6]","[0, 3, 6]",
0,7,415.0,415.0,,"[0, 10, 17, 7]","[0, 10, 17, 7]",
0,8,445.0,471.0,,"[0, 10, 13, 8]","[0, 8]",
0,9,297.0,297.0,,"[0, 10, 9]","[0, 10, 9]",
0,10,26.0,26.0,,"[0, 10]","[0, 10]",
0,11,546.0,546.0,,"[0, 1, 11]","[0, 1, 11]",
0,12,606.0,606.0,,"[0, 10, 17, 12]","[0, 10, 17, 12]",
0,13,402.0,402.0,,"[0, 10, 13]","[0, 10, 13]",
0,14,707.0,707.0,,"[0, 14]","[0, 14]",
0,15,564.0,564.0,,"[0, 3, 15]","[0, 3, 15]",
0,16,575.0,575.0,,"[0, 10, 17, 16]","[0, 10, 17, 16]",
0,17,279.0,279.0,,"[0, 10, 17]","[0, 10, 17]",
0,18,794.0,794.0,,"[0, 4, 18]","[0, 4, 18]",
0,19,663.0,663.0,,"[0, 10, 19]","[0, 10, 19]",
1,0,625.0,631.0,,"[1, 3, 6, 0]","[1, 11, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,880.0,880.0,,"[1, 14, 2]","[1, 14, 2]",
1,3,185.0,185.0,,"[1, 3]","[1, 3]",
1,4,867.0,867.0,,"[1, 14, 18, 4]","[1, 14, 18, 4]",
1,5,684.0,684.0,,"[1, 15, 5]","[1, 15, 5]",
1,6,298.0,298.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,689.0,689.0,,"[1, 10, 17, 7]","[1, 10, 17, 7]",
1,8,609.0,609.0,,"[1, 8]","[1, 8]",
1,9,409.0,434.0,,"[1, 11, 9]","[1, 3, 9]",
1,10,300.0,300.0,,"[1, 10]","[1, 10]",
1,11,207.0,207.0,,"[1, 11]","[1, 11]",
1,12,580.0,580.0,,"[1, 12]","[1, 12]",
1,13,676.0,709.0,,"[1, 10, 13]","[1, 13]",
1,14,616.0,616.0,,"[1, 14]","[1, 14]",
1,15,249.0,249.0,,"[1, 15]","[1, 15]",
1,16,584.0,584.0,,"[1, 16]","[1, 16]",
1,17,553.0,553.0,,"[1, 10, 17]","[1, 10, 17]",
1,18,742.0,742.0,,"[1, 14, 18]","[1, 14, 18]",
1,19,689.0,689.0,,"[1, 19]","[1, 19]",
2,0,785.0,785.0,,"[2, 5, 6, 0]","[2, 5, 6, 0]",
2,1,717.0,717.0,,"[2, 5, 9, 1]","[2, 5, 9, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,627.0,627.0,,"[2, 3]","[2, 3]",
2,4,431.0,431.0,,"[2, 4]","[2, 4]",
2,5,199.0,199.0,,"[2, 5]","[2, 5]",
2,6,458.0,458.0,,"[2, 5, 6]","[2, 5, 6]",
2,7,818.0,818.0,,"[2, 7]","[2, 7]",
2,8,969.0,969.0,,"[2, 16, 8]","[2, 16, 8]",
2,9,647.0,647.0,,"[2, 5, 9]","[2, 5, 9]",
2,10,811.0,811.0,,"[2, 5, 6, 0, 10]","[2, 5, 6, 0, 10]",
2,11,782.0,782.0,,"[2, 5, 15, 11]","[2, 5, 15, 11]",
2,12,965.0,965.0,,"[2, 5, 12]","[2, 5, 12]",
2,13,980.0,980.0,,"[2, 13]","[2, 13]",
2,14,447.0,447.0,,"[2, 5, 14]","[2, 5, 14]",
2,15,610.0,610.0,,"[2, 5, 15]","[2, 5, 15]",
2,16,620.0,620.0,,"[2, 16]","[2, 16]",
2,17,839.0,839.0,,"[2, 16, 17]","[2, 16, 17]",
2,18,425.0,425.0,,"[2, 18]","[2, 18]",
2,19,547.0,547.0,,"[2, 5, 19]","[2, 5, 19]",
3,0,440.0,440.0,,"[3, 6, 0]","[3, 6, 0]",
3,1,319.0,319.0,,"[3, 9, 1]","[3, 9, 1]",
3,2,815.0,815.0,,"[3, 14, 2]","[3, 14, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,802.0,815.0,,"[3, 14, 18, 4]","[3, 18, 4]",
3,5,689.0,689.0,,"[3, 15, 5]","[3, 15, 5]",
3,6,113.0,113.0,,"[3, 6]","[3, 6]",
