source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,1019.0,1019.0,,"[0, 7, 1]","[0, 7, 1]",
0,2,866.0,866.0,,"[0, 2]","[0, 2]",
0,3,347.0,347.0,,"[0, 3]","[0, 3]",
0,4,646.0,646.0,,"[0, 4]","[0, 4]",
0,5,633.0,633.0,,"[0, 5]","[0, 5]",
0,6,405.0,405.0,,"[0, 6]","[0, 6]",
0,7,392.0,392.0,,"[0, 7]","[0, 7]",
0,8,435.0,435.0,,"[0, 8]","[0, 8]",
0,9,670.0,670.0,,"[0, 6, 9]","[0, 6, 9]",
1,0,272.0,272.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,820.0,820.0,,"[1, 5, 2]","[1, 5, 2]",
1,3,132.0,132.0,,"[1, 3]","[1, 3]",
1,4,849.0,849.0,,"[1, 3, 4]","[1, 3, 4]",
1,5,539.0,539.0,,"[1, 5]","[1, 5]",
1,6,255.0,255.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,627.0,627.0,,"[1, 7]","[1, 7]",
1,8,707.0,707.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,73.0,73.0,,"[1, 9]","[1, 9]",
2,0,866.0,866.0,,"[2, 0]","[2, 0]",
2,1,813.0,813.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,694.0,694.0,,"[2, 6, 3]","[2, 6, 3]",
2,4,526.0,526.0,,"[2, 4]","[2, 4]",
2,5,281.0,281.0,,"[2, 5]","[2, 5]",
2,6,571.0,571.0,,"[2, 6]","[2, 6]",
2,7,1199.0,1199.0,,"[2, 6, 7]","[2, 6, 7]",
2,8,1021.0,1021.0,,"[2, 8]","[2, 8]",
2,9,810.0,810.0,,"[2, 9]","[2, 9]",
3,0,1363.0,1363.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,1378.0,1378.0,,"[3, 6, 7, 1]","[3, 6, 7, 1]",
3,2,693.0,693.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,717.0,717.0,,"[3, 4]","[3, 4]",
3,5,974.0,974.0,,"[3, 2, 5]","[3, 2, 5]",
3,6,123.0,123.0,,"[3, 6]","[3, 6]",
3,7,751.0,751.0,,"[3, 6, 7]","[3, 6, 7]",
3,8,949.0,949.0,,"[3, 6, 7, 8]","[3, 6, 7, 8]",
3,9,388.0,388.0,,"[3, 6, 9]","[3, 6, 9]",
4,0,646.0,646.0,,"[4, 0]","[4, 0]",
4,1,1339.0,1339.0,,"[4, 2, 1]","[4, 2, 1]",
4,2,526.0,526.0,,"[4, 2]","[4, 2]",
4,3,717.0,717.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,535.0,535.0,,"[4, 5]","[4, 5]",
4,6,827.0,827.0,,"[4, 5, 6]","[4, 5, 6]",
4,7,1038.0,1038.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,576.0,576.0,,"[4, 8]","[4, 8]",
4,9,1092.0,1092.0,,"[4, 5, 6, 9]","[4, 5, 6, 9]",
5,0,633.0,633.0,,"[5, 0]","[5, 0]",
5,1,1094.0,1094.0,,"[5, 2, 1]","[5, 2, 1]",
5,2,281.0,281.0,,"[5, 2]","[5, 2]",
5,3,415.0,415.0,,"[5, 6, 3]","[5, 6, 3]",
5,4,535.0,535.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,292.0,292.0,,"[5, 6]","[5, 6]",
5,7,920.0,920.0,,"[5, 6, 7]","[5, 6, 7]",
5,8,1068.0,1068.0,,"[5, 0, 8]","[5, 0, 8]",
5,9,557.0,557.0,,"[5, 6, 9]","[5, 6, 9]",
6,0,1486.0,1486.0,,"[6, 3, 4, 0]","[6, 3, 4, 0]",
6,1,1255.0,1255.0,,"[6, 7, 1]","[6, 7, 1]",
6,2,816.0,816.0,,"[6, 3, 2]","[6, 3, 2]",
6,3,123.0,123.0,,"[6, 3]","[6, 3]",
6,4,840.0,840.0,,"[6, 3, 4]","[6, 3, 4]",
6,5,1097.0,1097.0,,"[6, 3, 2, 5]","[6, 3, 2, 5]",
6,6,0.0,0.0,,[6],[6],
6,7,628.0,628.0,,"[6, 7]","[6, 7]",
6,8,826.0,826.0,,"[6, 7, 8]","[6, 7, 8]",
6,9,265.0,265.0,,"[6, 9]","[6, 9]",
7,0,899.0,899.0,,"[7, 1, 0]","[7, 1, 0]",
7,1,627.0,627.0,,"[7, 1]","[7, 1]",
7,2,826.0,826.0,,"[7, 2]","[7, 2]",
7,3,759.0,759.0,,"[7, 1, 3]","[7, 1, 3]",
7,4,386.0,386.0,,"[7, 4]","[7, 4]",
7,5,703.0,703.0,,"[7, 5]","[7, 5]",
7,6,823.0,823.0,,"[7, 9, 6]","[7, 9, 6]",
7,7,0.0,0.0,,[7],[7],
7,8,198.0,198.0,,"[7, 8]","[7, 8]",
7,9,558.0,558.0,,"[7, 9]","[7, 9]",
8,0,1222.0,1222.0,,"[8, 4, 0]","[8, 4, 0]",
8,1,1915.0,1915.0,,"[8, 4, 2, 1]","[8, 4, 2, 1]",
8,2,1102.0,1102.0,,"[8, 4, 2]","[8, 4, 2]",
8,3,751.0,751.0,,"[8, 3]","[8, 3]",
8,4,576.0,576.0,,"[8, 4]","[8, 4]",
8,5,882.0,882.0,,"[8, 5]","[8, 5]",
8,6,764.0,764.0,,"[8, 6]","[8, 6]",
8,7,1392.0,1392.0,,"[8, 6, 7]","[8, 6, 7]",
8,8,0.0,0.0,,[8],[8],
8,9,1029.0,1029.0,,"[8, 6, 9]","[8, 6, 9]",
