source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,1612.0,1612.0,,"[0, 7, 1]","[0, 7, 1]",
0,2,1611.0,1611.0,,"[0, 7, 2]","[0, 7, 2]",
0,3,1035.0,1035.0,,"[0, 6, 3]","[0, 6, 3]",
0,4,1055.0,1055.0,,"[0, 7, 4]","[0, 7, 4]",
0,5,789.0,789.0,,"[0, 5]","[0, 5]",
0,6,779.0,779.0,,"[0, 6]","[0, 6]",
0,7,428.0,428.0,,"[0, 7]","[0, 7]",
0,8,558.0,558.0,,"[0, 8]","[0, 8]",
0,9,1445.0,1445.0,,"[0, 6, 9]","[0, 6, 9]",
1,0,868.0,868.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,1655.0,1655.0,,"[1, 5, 2]","[1, 5, 2]",
1,3,428.0,428.0,,"[1, 3]","[1, 3]",
1,4,1272.0,1272.0,,"[1, 5, 4]","[1, 5, 4]",
1,5,691.0,691.0,,"[1, 5]","[1, 5]",
1,6,918.0,918.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,1008.0,1008.0,,"[1, 7]","[1, 7]",
1,8,1300.0,1300.0,,"[1, 7, 8]","[1, 7, 8]",
1,9,608.0,608.0,,"[1, 9]","[1, 9]",
2,0,1216.0,1216.0,,"[2, 0]","[2, 0]",
2,1,1480.0,1480.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,1137.0,1137.0,,"[2, 6, 3]","[2, 6, 3]",
2,4,1192.0,1192.0,,"[2, 4]","[2, 4]",
2,5,925.0,925.0,,"[2, 5]","[2, 5]",
2,6,881.0,881.0,,"[2, 6]","[2, 6]",
2,7,1644.0,1644.0,,"[2, 0, 7]","[2, 0, 7]",
2,8,1567.0,1567.0,,"[2, 8]","[2, 8]",
2,9,922.0,922.0,,"[2, 9]","[2, 9]",
3,0,2462.0,2462.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,2672.0,2672.0,,"[3, 6, 7, 1]","[3, 6, 7, 1]",
3,2,1323.0,1323.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,1281.0,1281.0,,"[3, 4]","[3, 4]",
3,5,2248.0,2248.0,,"[3, 2, 5]","[3, 2, 5]",
3,6,490.0,490.0,,"[3, 6]","[3, 6]",
3,7,1488.0,1488.0,,"[3, 6, 7]","[3, 6, 7]",
3,8,1780.0,1780.0,,"[3, 6, 7, 8]","[3, 6, 7, 8]",
3,9,1156.0,1156.0,,"[3, 6, 9]","[3, 6, 9]",
4,0,1181.0,1181.0,,"[4, 0]","[4, 0]",
4,1,2459.0,2459.0,,"[4, 2, 1]","[4, 2, 1]",
4,2,979.0,979.0,,"[4, 2]","[4, 2]",
4,3,1329.0,1329.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,977.0,977.0,,"[4, 5]","[4, 5]",
4,6,1504.0,1504.0,,"[4, 5, 6]","[4, 5, 6]",
4,7,1609.0,1609.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,600.0,600.0,,"[4, 8]","[4, 8]",
4,9,1901.0,1901.0,,"[4, 2, 9]","[4, 2, 9]",
5,0,805.0,805.0,,"[5, 0]","[5, 0]",
5,1,2417.0,2417.0,,"[5, 0, 7, 1]","[5, 0, 7, 1]",
5,2,964.0,964.0,,"[5, 2]","[5, 2]",
5,3,783.0,783.0,,"[5, 6, 3]","[5, 6, 3]",
5,4,581.0,581.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,527.0,527.0,,"[5, 6]","[5, 6]",
5,7,1233.0,1233.0,,"[5, 0, 7]","[5, 0, 7]",
5,8,1181.0,1181.0,,"[5, 4, 8]","[5, 4, 8]",
5,9,1193.0,1193.0,,"[5, 6, 9]","[5, 6, 9]",
6,0,2718.0,2718.0,,"[6, 3, 4, 0]","[6, 3, 4, 0]",
6,1,2182.0,2182.0,,"[6, 7, 1]","[6, 7, 1]",
6,2,1579.0,1579.0,,"[6, 3, 2]","[6, 3, 2]",
6,3,256.0,256.0,,"[6, 3]","[6, 3]",
6,4,1537.0,1537.0,,"[6, 3, 4]","[6, 3, 4]",
6,5,2206.0,2206.0,,"[6, 7, 5]","[6, 7, 5]",
6,6,0.0,0.0,,[6],[6],
6,7,998.0,998.0,,"[6, 7]","[6, 7]",
6,8,1290.0,1290.0,,"[6, 7, 8]","[6, 7, 8]",
6,9,666.0,666.0,,"[6, 9]","[6, 9]",
7,0,1808.0,1808.0,,"[7, 4, 0]","[7, 4, 0]",
7,1,1184.0,1184.0,,"[7, 1]","[7, 1]",
7,2,1183.0,1183.0,,"[7, 2]","[7, 2]",
7,3,1612.0,1612.0,,"[7, 1, 3]","[7, 1, 3]",
7,4,627.0,627.0,,"[7, 4]","[7, 4]",
7,5,1208.0,1208.0,,"[7, 5]","[7, 5]",
7,6,1416.0,1416.0,,"[7, 8, 6]","[7, 8, 6]",
7,7,0.0,0.0,,[7],[7],
7,8,292.0,292.0,,"[7, 8]","[7, 8]",
7,9,1327.0,1327.0,,"[7, 9]","[7, 9]",
8,0,2261.0,2261.0,,"[8, 5, 0]","[8, 5, 0]",
8,1,3306.0,3306.0,,"[8, 6, 7, 1]","[8, 6, 7, 1]",
8,2,2178.0,2178.0,,"[8, 4, 2]","[8, 4, 2]",
8,3,1380.0,1380.0,,"[8, 6, 3]","[8, 6, 3]",
8,4,1199.0,1199.0,,"[8, 4]","[8, 4]",
8,5,1456.0,1456.0,,"[8, 5]","[8, 5]",
8,6,1124.0,1124.0,,"[8, 6]","[8, 6]",
8,7,2122.0,2122.0,,"[8, 6, 7]","[8, 6, 7]",
8,8,0.0,0.0,,[8],[8],
8,9,1790.0,1790.0,,"[8, 6, 9]","[8, 6, 9]",
9,0,2271.0,2271.0,,"[9, 2, 0]","[9, 2, 0]",
9,1,2317.0,2317.0,,"[9, 7, 1]","[9, 7, 1]",
9,2,1055.0,1055.0,,"[9, 2]","[9, 2]",
9,3,1128.0,1128.0,,"[9, 6, 3]","[9, 6, 3]",
9,4,1760.0,1760.0,,"[9, 7, 4]","[9, 7, 4]",
9,5,1980.0,1980.0,,"[9, 2, 5]","[9, 2, 5]",
9,6,872.0,872.0,,"[9, 6]","[9, 6]",
9,7,1133.0,1133.0,,"[9, 7]","[9, 7]",
9,8,1425.0,1425.0,,"[9, 7, 8]","[9, 7, 8]",
9,9,0.0,0.0,,[9],[9],
