source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,,,0.0,,,[0]
0,1,,,inf,,,None
0,2,,,708.0,,,"[0, 7, 2]"
0,3,,,972.0,,,"[0, 7, 8, 3]"
0,4,,,124.0,,,"[0, 7, 4]"
0,5,,,770.0,,,"[0, 7, 5]"
0,6,,,466.0,,,"[0, 7, 8, 6]"
0,7,,,-64.0,,,"[0, 7]"
0,8,,,-248.0,,,"[0, 7, 8]"
0,9,,,1158.0,,,"[0, 7, 2, 9]"
1,0,,,517.0,,,"[1, 0]"
1,1,,,0.0,,,[1]
1,2,,,858.0,,,"[1, 9, 2]"
1,3,,,1304.0,,,"[1, 5, 4, 3]"
1,4,,,322.0,,,"[1, 5, 4]"
1,5,,,229.0,,,"[1, 5]"
1,6,,,766.0,,,"[1, 9, 6]"
1,7,,,453.0,,,"[1, 0, 7]"
1,8,,,269.0,,,"[1, 0, 7, 8]"
1,9,,,242.0,,,"[1, 9]"
2,0,,,2229.0,,,"[2, 9, 7, 4, 0]"
2,1,,,inf,,,None
2,2,,,0.0,,,[2]
2,3,,,2263.0,,,"[2, 9, 7, 8, 3]"
2,4,,,1415.0,,,"[2, 9, 7, 4]"
2,5,,,2061.0,,,"[2, 9, 7, 5]"
2,6,,,974.0,,,"[2, 9, 6]"
2,7,,,1227.0,,,"[2, 9, 7]"
2,8,,,1043.0,,,"[2, 9, 7, 8]"
2,9,,,450.0,,,"[2, 9]"
3,0,,,1736.0,,,"[3, 4, 0]"
3,1,,,inf,,,None
3,2,,,980.0,,,"[3, 2]"
3,3,,,0.0,,,[3]
3,4,,,922.0,,,"[3, 4]"
3,5,,,2506.0,,,"[3, 4, 0, 7, 5]"
3,6,,,1954.0,,,"[3, 2, 9, 6]"
3,7,,,1672.0,,,"[3, 4, 0, 7]"
3,8,,,1488.0,,,"[3, 4, 0, 7, 8]"
3,9,,,1430.0,,,"[3, 2, 9]"
4,0,,,814.0,,,"[4, 0]"
4,1,,,inf,,,None
4,2,,,1522.0,,,"[4, 0, 7, 2]"
4,3,,,982.0,,,"[4, 3]"
4,4,,,0.0,,,[4]
4,5,,,1584.0,,,"[4, 0, 7, 5]"
4,6,,,1280.0,,,"[4, 0, 7, 8, 6]"
4,7,,,750.0,,,"[4, 0, 7]"
4,8,,,566.0,,,"[4, 0, 7, 8]"
4,9,,,1972.0,,,"[4, 0, 7, 2, 9]"
5,0,,,907.0,,,"[5, 4, 0]"
5,1,,,inf,,,None
5,2,,,1615.0,,,"[5, 4, 0, 7, 2]"
5,3,,,1075.0,,,"[5, 4, 3]"
5,4,,,93.0,,,"[5, 4]"
5,5,,,0.0,,,[5]
5,6,,,1373.0,,,"[5, 4, 0, 7, 8, 6]"
5,7,,,843.0,,,"[5, 4, 0, 7]"
5,8,,,659.0,,,"[5, 4, 0, 7, 8]"
5,9,,,2065.0,,,"[5, 4, 0, 7, 2, 9]"
6,0,,,1592.0,,,"[6, 7, 4, 0]"
6,1,,,inf,,,None
6,2,,,1362.0,,,"[6, 7, 2]"
6,3,,,1626.0,,,"[6, 7, 8, 3]"
6,4,,,778.0,,,"[6, 7, 4]"
6,5,,,1424.0,,,"[6, 7, 5]"
6,6,,,0.0,,,[6]
6,7,,,590.0,,,"[6, 7]"
6,8,,,406.0,,,"[6, 7, 8]"
6,9,,,1812.0,,,"[6, 7, 2, 9]"
7,0,,,1002.0,,,"[7, 4, 0]"
7,1,,,inf,,,None
7,2,,,772.0,,,"[7, 2]"
7,3,,,1036.0,,,"[7, 8, 3]"
7,4,,,188.0,,,"[7, 4]"
7,5,,,834.0,,,"[7, 5]"
7,6,,,530.0,,,"[7, 8, 6]"
7,7,,,0.0,,,[7]
7,8,,,-184.0,,,"[7, 8]"
7,9,,,1222.0,,,"[7, 2, 9]"
8,0,,,1668.0,,,"[8, 4, 0]"
8,1,,,inf,,,None
8,2,,,2076.0,,,"[8, 6, 7, 2]"
8,3,,,1220.0,,,"[8, 3]"
8,4,,,854.0,,,"[8, 4]"
8,5,,,2138.0,,,"[8, 6, 7, 5]"
8,6,,,714.0,,,"[8, 6]"
8,7,,,1304.0,,,"[8, 6, 7]"
8,8,,,0.0,,,[8]
8,9,,,2526.0,,,"[8, 6, 7, 2, 9]"
9,0,,,1779.0,,,"[9, 7, 4, 0]"
9,1,,,inf,,,None
9,2,,,616.0,,,"[9, 2]"
9,3,,,1813.0,,,"[9, 7, 8, 3]"
9,4,,,965.0,,,"[9, 7, 4]"
9,5,,,1611.0,,,"[9, 7, 5]"
9,6,,,524.0,,,"[9, 6]"
9,7,,,777.0,,,"[9, 7]"
9,8,,,593.0,,,"[9, 7, 8]"
9,9,,,0.0,,,[9]
