source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,inf,inf,,None,None,
0,2,1611.0,1611.0,,"[0, 7, 2]","[0, 7, 2]",
0,3,2085.0,2085.0,,"[0, 8, 3]","[0, 8, 3]",
0,4,1055.0,1055.0,,"[0, 7, 4]","[0, 7, 4]",
0,5,1636.0,1636.0,,"[0, 7, 5]","[0, 7, 5]",
0,6,1682.0,1682.0,,"[0, 8, 6]","[0, 8, 6]",
0,7,428.0,428.0,,"[0, 7]","[0, 7]",
0,8,558.0,558.0,,"[0, 8]","[0, 8]",
0,9,2533.0,2533.0,,"[0, 7, 2, 9]","[0, 7, 2, 9]",
1,0,868.0,868.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,1663.0,1663.0,,"[1, 9, 2]","[1, 9, 2]",
1,3,2601.0,2601.0,,"[1, 5, 4, 3]","[1, 5, 4, 3]",
1,4,1272.0,1272.0,,"[1, 5, 4]","[1, 5, 4]",
1,5,691.0,691.0,,"[1, 5]","[1, 5]",
1,6,1480.0,1480.0,,"[1, 9, 6]","[1, 9, 6]",
1,7,1296.0,1296.0,,"[1, 0, 7]","[1, 0, 7]",
1,8,1426.0,1426.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,608.0,608.0,,"[1, 9]","[1, 9]",
2,0,3863.0,3863.0,,"[2, 9, 7, 4, 0]","[2, 9, 7, 4, 0]",
2,1,inf,inf,,None,None,
2,2,0.0,0.0,,[2],[2],
2,3,3874.0,3874.0,,"[2, 9, 7, 8, 3]","[2, 9, 7, 8, 3]",
2,4,2682.0,2682.0,,"[2, 9, 7, 4]","[2, 9, 7, 4]",
2,5,3263.0,3263.0,,"[2, 9, 7, 5]","[2, 9, 7, 5]",
2,6,1794.0,1794.0,,"[2, 9, 6]","[2, 9, 6]",
2,7,2055.0,2055.0,,"[2, 9, 7]","[2, 9, 7]",
2,8,2347.0,2347.0,,"[2, 9, 7, 8]","[2, 9, 7, 8]",
2,9,922.0,922.0,,"[2, 9]","[2, 9]",
3,0,2462.0,2462.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,inf,inf,,None,None,
3,2,1323.0,1323.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,1281.0,1281.0,,"[3, 4]","[3, 4]",
3,5,4098.0,4098.0,,"[3, 4, 0, 7, 5]","[3, 4, 0, 7, 5]",
3,6,3117.0,3117.0,,"[3, 2, 9, 6]","[3, 2, 9, 6]",
3,7,2890.0,2890.0,,"[3, 4, 0, 7]","[3, 4, 0, 7]",
3,8,3020.0,3020.0,,"[3, 4, 0, 8]","[3, 4, 0, 8]",
3,9,2245.0,2245.0,,"[3, 2, 9]","[3, 2, 9]",
4,0,1181.0,1181.0,,"[4, 0]","[4, 0]",
4,1,inf,inf,,None,None,
4,2,2652.0,2652.0,,"[4, 3, 2]","[4, 3, 2]",
4,3,1329.0,1329.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,2817.0,2817.0,,"[4, 0, 7, 5]","[4, 0, 7, 5]",
4,6,2863.0,2863.0,,"[4, 0, 8, 6]","[4, 0, 8, 6]",
4,7,1609.0,1609.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,1739.0,1739.0,,"[4, 0, 8]","[4, 0, 8]",
4,9,3574.0,3574.0,,"[4, 3, 2, 9]","[4, 3, 2, 9]",
5,0,1762.0,1762.0,,"[5, 4, 0]","[5, 4, 0]",
5,1,inf,inf,,None,None,
5,2,3233.0,3233.0,,"[5, 4, 3, 2]","[5, 4, 3, 2]",
5,3,1910.0,1910.0,,"[5, 4, 3]","[5, 4, 3]",
5,4,581.0,581.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,3444.0,3444.0,,"[5, 4, 0, 8, 6]","[5, 4, 0, 8, 6]",
5,7,2190.0,2190.0,,"[5, 4, 0, 7]","[5, 4, 0, 7]",
5,8,2320.0,2320.0,,"[5, 4, 0, 8]","[5, 4, 0, 8]",
5,9,4155.0,4155.0,,"[5, 4, 3, 2, 9]","[5, 4, 3, 2, 9]",
