source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,307.0,307.0,,"[0, 1]","[0, 1]",
0,2,963.0,963.0,,"[0, 2]","[0, 2]",
0,3,437.0,437.0,,"[0, 3]","[0, 3]",
0,4,724.0,724.0,,"[0, 4]","[0, 4]",
0,5,652.0,652.0,,"[0, 5]","[0, 5]",
0,6,452.0,452.0,,"[0, 6]","[0, 6]",
0,7,397.0,397.0,,"[0, 7]","[0, 7]",
0,8,450.0,450.0,,"[0, 8]","[0, 8]",
0,9,268.0,268.0,,"[0, 9]","[0, 9]",
1,0,346.0,346.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,846.0,846.0,,"[1, 2]","[1, 2]",
1,3,169.0,169.0,,"[1, 3]","[1, 3]",
1,4,818.0,818.0,,"[1, 4]","[1, 4]",
1,5,558.0,558.0,,"[1, 5]","[1, 5]",
1,6,262.0,262.0,,"[1, 6]","[1, 6]",
1,7,675.0,675.0,,"[1, 7]","[1, 7]",
1,8,725.0,725.0,,"[1, 8]","[1, 8]",
1,9,140.0,140.0,,"[1, 9]","[1, 9]",
2,0,910.0,910.0,,"[2, 0]","[2, 0]",
2,1,858.0,858.0,,"[2, 3, 1]","[2, 3, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,725.0,725.0,,"[2, 3]","[2, 3]",
2,4,610.0,610.0,,"[2, 4]","[2, 4]",
2,5,361.0,361.0,,"[2, 5]","[2, 5]",
2,6,609.0,609.0,,"[2, 6]","[2, 6]",
2,7,855.0,855.0,,"[2, 7]","[2, 7]",
2,8,1064.0,1064.0,,"[2, 7, 8]","[2, 7, 8]",
2,9,824.0,824.0,,"[2, 9]","[2, 9]",
3,0,367.0,367.0,,"[3, 0]","[3, 0]",
3,1,133.0,133.0,,"[3, 1]","[3, 1]",
3,2,772.0,772.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,787.0,787.0,,"[3, 4]","[3, 4]",
3,5,470.0,470.0,,"[3, 6, 5]","[3, 6, 5]",
3,6,169.0,169.0,,"[3, 6]","[3, 6]",
3,7,700.0,700.0,,"[3, 7]","[3, 7]",
3,8,765.0,765.0,,"[3, 8]","[3, 8]",
3,9,180.0,180.0,,"[3, 9]","[3, 9]",
4,0,713.0,713.0,,"[4, 0]","[4, 0]",
4,1,818.0,818.0,,"[4, 1]","[4, 1]",
4,2,583.0,583.0,,"[4, 2]","[4, 2]",
4,3,793.0,793.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,590.0,590.0,,"[4, 5]","[4, 5]",
4,6,692.0,692.0,,"[4, 6]","[4, 6]",
4,7,417.0,417.0,,"[4, 7]","[4, 7]",
4,8,579.0,579.0,,"[4, 8]","[4, 8]",
4,9,766.0,766.0,,"[4, 9]","[4, 9]",
5,0,654.0,654.0,,"[5, 0]","[5, 0]",
5,1,571.0,571.0,,"[5, 3, 1]","[5, 3, 1]",
5,2,366.0,366.0,,"[5, 2]","[5, 2]",
5,3,438.0,438.0,,"[5, 3]","[5, 3]",
5,4,540.0,540.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,322.0,322.0,,"[5, 6]","[5, 6]",
5,7,769.0,769.0,,"[5, 7]","[5, 7]",
5,8,938.0,938.0,,"[5, 8]","[5, 8]",
