source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,272.0,272.0,,"[0, 1]","[0, 1]",
0,2,965.0,965.0,,"[0, 14, 2]","[0, 14, 2]",
0,3,347.0,347.0,,"[0, 3]","[0, 3]",
0,4,646.0,646.0,,"[0, 4]","[0, 4]",
0,5,905.0,905.0,,"[0, 15, 5]","[0, 15, 5]",
0,6,470.0,470.0,,"[0, 3, 6]","[0, 3, 6]",
0,7,440.0,440.0,,"[0, 17, 7]","[0, 17, 7]",
0,8,435.0,435.0,,"[0, 8]","[0, 8]",
0,9,372.0,372.0,,"[0, 10, 9]","[0, 10, 9]",
0,10,86.0,86.0,,"[0, 10]","[0, 10]",
0,11,498.0,498.0,,"[0, 1, 11]","[0, 1, 11]",
0,12,703.0,703.0,,"[0, 17, 12]","[0, 17, 12]",
0,13,500.0,500.0,,"[0, 13]","[0, 13]",
0,14,666.0,666.0,,"[0, 14]","[0, 14]",
0,15,529.0,529.0,,"[0, 15]","[0, 15]",
0,16,625.0,625.0,,"[0, 17, 16]","[0, 17, 16]",
0,17,394.0,394.0,,"[0, 17]","[0, 17]",
0,18,671.0,671.0,,"[0, 4, 18]","[0, 4, 18]",
0,19,704.0,704.0,,"[0, 10, 19]","[0, 10, 19]",
1,0,660.0,660.0,,"[1, 3, 6, 0]","[1, 3, 6, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,965.0,965.0,,"[1, 19, 2]","[1, 19, 2]",
1,3,132.0,132.0,,"[1, 3]","[1, 3]",
1,4,860.0,860.0,,"[1, 3, 18, 4]","[1, 3, 18, 4]",
1,5,669.0,669.0,,"[1, 15, 5]","[1, 15, 5]",
1,6,255.0,255.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,735.0,735.0,,"[1, 10, 17, 7]","[1, 10, 17, 7]",
1,8,703.0,703.0,,"[1, 8]","[1, 8]",
1,9,300.0,300.0,,"[1, 3, 9]","[1, 3, 9]",
1,10,357.0,357.0,,"[1, 10]","[1, 10]",
1,11,226.0,226.0,,"[1, 11]","[1, 11]",
1,12,509.0,509.0,,"[1, 12]","[1, 12]",
1,13,762.0,762.0,,"[1, 13]","[1, 13]",
1,14,704.0,704.0,,"[1, 14]","[1, 14]",
1,15,293.0,293.0,,"[1, 15]","[1, 15]",
1,16,625.0,625.0,,"[1, 16]","[1, 16]",
1,17,689.0,689.0,,"[1, 10, 17]","[1, 10, 17]",
1,18,835.0,835.0,,"[1, 3, 18]","[1, 3, 18]",
1,19,632.0,632.0,,"[1, 19]","[1, 19]",
2,0,866.0,866.0,,"[2, 0]","[2, 0]",
2,1,813.0,813.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,693.0,693.0,,"[2, 3]","[2, 3]",
2,4,526.0,526.0,,"[2, 4]","[2, 4]",
2,5,281.0,281.0,,"[2, 5]","[2, 5]",
2,6,571.0,571.0,,"[2, 6]","[2, 6]",
2,7,826.0,826.0,,"[2, 7]","[2, 7]",
2,8,1024.0,1024.0,,"[2, 7, 8]","[2, 7, 8]",
2,9,825.0,825.0,,"[2, 5, 9]","[2, 5, 9]",
2,10,952.0,952.0,,"[2, 0, 10]","[2, 0, 10]",
2,11,882.0,882.0,,"[2, 5, 11]","[2, 5, 11]",
2,12,1119.0,1119.0,,"[2, 5, 12]","[2, 5, 12]",
2,13,1004.0,1004.0,,"[2, 13]","[2, 13]",
2,14,607.0,607.0,,"[2, 5, 14]","[2, 5, 14]",
2,15,657.0,657.0,,"[2, 5, 15]","[2, 5, 15]",
2,16,648.0,648.0,,"[2, 16]","[2, 16]",
2,17,879.0,879.0,,"[2, 16, 17]","[2, 16, 17]",
2,18,501.0,501.0,,"[2, 18]","[2, 18]",
2,19,575.0,575.0,,"[2, 5, 19]","[2, 5, 19]",
3,0,528.0,528.0,,"[3, 6, 0]","[3, 6, 0]",
3,1,241.0,241.0,,"[3, 9, 1]","[3, 9, 1]",
3,2,900.0,900.0,,"[3, 6, 19, 2]","[3, 6, 19, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,728.0,728.0,,"[3, 18, 4]","[3, 18, 4]",
3,5,558.0,558.0,,"[3, 15, 5]","[3, 15, 5]",
3,6,123.0,123.0,,"[3, 6]","[3, 6]",
3,7,726.0,726.0,,"[3, 9, 7]","[3, 9, 7]",
3,8,751.0,751.0,,"[3, 8]","[3, 8]",
3,9,168.0,168.0,,"[3, 9]","[3, 9]",
3,10,432.0,432.0,,"[3, 10]","[3, 10]",
3,11,420.0,420.0,,"[3, 15, 11]","[3, 15, 11]",
3,12,592.0,592.0,,"[3, 12]","[3, 12]",
3,13,799.0,799.0,,"[3, 13]","[3, 13]",
3,14,616.0,616.0,,"[3, 14]","[3, 14]",
3,15,182.0,182.0,,"[3, 15]","[3, 15]",
3,16,602.0,602.0,,"[3, 16]","[3, 16]",
3,17,764.0,764.0,,"[3, 10, 17]","[3, 10, 17]",
3,18,703.0,703.0,,"[3, 18]","[3, 18]",
3,19,567.0,567.0,,"[3, 6, 19]","[3, 6, 19]",
4,0,817.0,817.0,,"[4, 18, 7, 0]","[4, 18, 7, 0]",
4,1,771.0,771.0,,"[4, 1]","[4, 1]",
4,2,526.0,526.0,,"[4, 2]","[4, 2]",
4,3,891.0,891.0,,"[4, 9, 3]","[4, 9, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,535.0,535.0,,"[4, 5]","[4, 5]",
4,6,743.0,743.0,,"[4, 14, 6]","[4, 14, 6]",
4,7,425.0,425.0,,"[4, 18, 7]","[4, 18, 7]",
4,8,623.0,623.0,,"[4, 18, 7, 8]","[4, 18, 7, 8]",
4,9,723.0,723.0,,"[4, 9]","[4, 9]",
4,10,665.0,665.0,,"[4, 18, 10]","[4, 18, 10]",
4,11,964.0,964.0,,"[4, 18, 11]","[4, 18, 11]",
4,12,699.0,699.0,,"[4, 12]","[4, 12]",
4,13,576.0,576.0,,"[4, 17, 13]","[4, 17, 13]",
4,14,234.0,234.0,,"[4, 14]","[4, 14]",
4,15,805.0,805.0,,"[4, 15]","[4, 15]",
4,16,591.0,591.0,,"[4, 14, 16]","[4, 14, 16]",
4,17,430.0,430.0,,"[4, 17]","[4, 17]",
4,18,25.0,25.0,,"[4, 18]","[4, 18]",
4,19,242.0,242.0,,"[4, 18, 19]","[4, 18, 19]",
5,0,697.0,697.0,,"[5, 6, 0]","[5, 6, 0]",
5,1,541.0,541.0,,"[5, 6, 1]","[5, 6, 1]",
5,2,625.0,625.0,,"[5, 14, 2]","[5, 14, 2]",
5,3,558.0,558.0,,"[5, 15, 3]","[5, 15, 3]",
5,4,535.0,535.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,292.0,292.0,,"[5, 6]","[5, 6]",
5,7,703.0,703.0,,"[5, 7]","[5, 7]",
5,8,901.0,901.0,,"[5, 7, 8]","[5, 7, 8]",
5,9,544.0,544.0,,"[5, 9]","[5, 9]",
5,10,691.0,691.0,,"[5, 10]","[5, 10]",
5,11,601.0,601.0,,"[5, 11]","[5, 11]",
5,12,838.0,838.0,,"[5, 12]","[5, 12]",
5,13,890.0,890.0,,"[5, 17, 13]","[5, 17, 13]",
5,14,326.0,326.0,,"[5, 14]","[5, 14]",
5,15,376.0,376.0,,"[5, 15]","[5, 15]",
5,16,558.0,558.0,,"[5, 16]","[5, 16]",
5,17,744.0,744.0,,"[5, 17]","[5, 17]",
5,18,511.0,511.0,,"[5, 19, 18]","[5, 19, 18]",
5,19,294.0,294.0,,"[5, 19]","[5, 19]",
6,0,405.0,405.0,,"[6, 0]","[6, 0]",
6,1,249.0,249.0,,"[6, 1]","[6, 1]",
6,2,777.0,777.0,,"[6, 19, 2]","[6, 19, 2]",
6,3,381.0,381.0,,"[6, 1, 3]","[6, 1, 3]",
6,4,686.0,686.0,,"[6, 19, 18, 4]","[6, 19, 18, 4]",
6,5,738.0,738.0,,"[6, 19, 5]","[6, 19, 5]",
6,6,0.0,0.0,,[6],[6],
