source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,,,0.0,,,[0]
0,1,,,198.0,,,"[0, 9, 1]"
0,2,,,751.0,,,"[0, 19, 2]"
0,3,,,310.0,,,"[0, 3]"
0,4,,,684.0,,,"[0, 10, 4]"
0,5,,,564.0,,,"[0, 9, 6, 5]"
0,6,,,298.0,,,"[0, 9, 6]"
0,7,,,348.0,,,"[0, 10, 7]"
0,8,,,354.0,,,"[0, 10, 17, 8]"
0,9,,,128.0,,,"[0, 9]"
0,10,,,26.0,,,"[0, 10]"
0,11,,,396.0,,,"[0, 11]"
0,12,,,178.0,,,"[0, 10, 12]"
0,13,,,402.0,,,"[0, 10, 13]"
0,14,,,499.0,,,"[0, 19, 14]"
0,15,,,383.0,,,"[0, 9, 6, 15]"
0,16,,,445.0,,,"[0, 16]"
0,17,,,279.0,,,"[0, 10, 17]"
0,18,,,573.0,,,"[0, 18]"
0,19,,,517.0,,,"[0, 19]"
1,0,,,220.0,,,"[1, 9, 0]"
1,1,,,0.0,,,[1]
1,2,,,747.0,,,"[1, 9, 6, 2]"
1,3,,,185.0,,,"[1, 3]"
1,4,,,740.0,,,"[1, 9, 4]"
1,5,,,496.0,,,"[1, 9, 6, 5]"
1,6,,,230.0,,,"[1, 9, 6]"
1,7,,,568.0,,,"[1, 9, 0, 10, 7]"
1,8,,,574.0,,,"[1, 9, 0, 10, 17, 8]"
1,9,,,60.0,,,"[1, 9]"
1,10,,,246.0,,,"[1, 9, 0, 10]"
1,11,,,207.0,,,"[1, 11]"
1,12,,,398.0,,,"[1, 9, 0, 10, 12]"
1,13,,,622.0,,,"[1, 9, 0, 10, 13]"
1,14,,,566.0,,,"[1, 9, 19, 14]"
1,15,,,249.0,,,"[1, 15]"
1,16,,,584.0,,,"[1, 16]"
1,17,,,499.0,,,"[1, 9, 0, 10, 17]"
1,18,,,678.0,,,"[1, 9, 18]"
1,19,,,584.0,,,"[1, 9, 19]"
2,0,,,785.0,,,"[2, 5, 6, 0]"
2,1,,,660.0,,,"[2, 5, 6, 3, 1]"
2,2,,,0.0,,,[2]
2,3,,,488.0,,,"[2, 5, 6, 3]"
2,4,,,431.0,,,"[2, 4]"
2,5,,,199.0,,,"[2, 5]"
2,6,,,458.0,,,"[2, 5, 6]"
2,7,,,746.0,,,"[2, 4, 7]"
2,8,,,829.0,,,"[2, 14, 16, 17, 8]"
2,9,,,647.0,,,"[2, 5, 9]"
2,10,,,811.0,,,"[2, 5, 6, 0, 10]"
2,11,,,664.0,,,"[2, 5, 6, 3, 11]"
2,12,,,963.0,,,"[2, 5, 6, 0, 10, 12]"
2,13,,,854.0,,,"[2, 14, 16, 13]"
2,14,,,259.0,,,"[2, 14]"
2,15,,,543.0,,,"[2, 5, 6, 15]"
2,16,,,535.0,,,"[2, 14, 16]"
2,17,,,754.0,,,"[2, 14, 16, 17]"
2,18,,,385.0,,,"[2, 14, 18]"
2,19,,,420.0,,,"[2, 14, 19]"
3,0,,,392.0,,,"[3, 1, 9, 0]"
3,1,,,172.0,,,"[3, 1]"
3,2,,,630.0,,,"[3, 6, 2]"
3,3,,,0.0,,,[3]
3,4,,,760.0,,,"[3, 6, 4]"
3,5,,,379.0,,,"[3, 6, 5]"
3,6,,,113.0,,,"[3, 6]"
3,7,,,597.0,,,"[3, 7]"
3,8,,,670.0,,,"[3, 8]"
3,9,,,232.0,,,"[3, 1, 9]"
3,10,,,418.0,,,"[3, 1, 9, 0, 10]"
3,11,,,176.0,,,"[3, 11]"
3,12,,,553.0,,,"[3, 12]"
3,13,,,794.0,,,"[3, 1, 9, 0, 10, 13]"
3,14,,,551.0,,,"[3, 14]"
3,15,,,198.0,,,"[3, 6, 15]"
3,16,,,653.0,,,"[3, 6, 16]"
3,17,,,671.0,,,"[3, 1, 9, 0, 10, 17]"
3,18,,,677.0,,,"[3, 14, 18]"
3,19,,,572.0,,,"[3, 19]"
4,0,,,663.0,,,"[4, 0]"
4,1,,,697.0,,,"[4, 19, 1]"
4,2,,,391.0,,,"[4, 19, 2]"
4,3,,,579.0,,,"[4, 19, 6, 3]"
4,4,,,0.0,,,[4]
4,5,,,496.0,,,"[4, 19, 14, 5]"
4,6,,,549.0,,,"[4, 19, 6]"
4,7,,,315.0,,,"[4, 7]"
4,8,,,496.0,,,"[4, 8]"
4,9,,,740.0,,,"[4, 9]"
4,10,,,571.0,,,"[4, 10]"
4,11,,,755.0,,,"[4, 19, 6, 3, 11]"
4,12,,,576.0,,,"[4, 7, 12]"
4,13,,,498.0,,,"[4, 13]"
4,14,,,139.0,,,"[4, 19, 14]"
4,15,,,634.0,,,"[4, 19, 6, 15]"
4,16,,,233.0,,,"[4, 18, 16]"
4,17,,,426.0,,,"[4, 17]"
4,18,,,82.0,,,"[4, 18]"
4,19,,,157.0,,,"[4, 19]"
5,0,,,586.0,,,"[5, 6, 0]"
5,1,,,461.0,,,"[5, 6, 3, 1]"
5,2,,,368.0,,,"[5, 2]"
5,3,,,289.0,,,"[5, 6, 3]"
5,4,,,499.0,,,"[5, 14, 18, 4]"
5,5,,,0.0,,,[5]
5,6,,,259.0,,,"[5, 6]"
5,7,,,707.0,,,"[5, 7]"
5,8,,,808.0,,,"[5, 16, 17, 8]"
5,9,,,448.0,,,"[5, 9]"
5,10,,,612.0,,,"[5, 6, 0, 10]"
5,11,,,465.0,,,"[5, 6, 3, 11]"
5,12,,,764.0,,,"[5, 6, 0, 10, 12]"
5,13,,,833.0,,,"[5, 16, 13]"
5,14,,,248.0,,,"[5, 14]"
5,15,,,344.0,,,"[5, 6, 15]"
5,16,,,514.0,,,"[5, 16]"
5,17,,,733.0,,,"[5, 16, 17]"
5,18,,,374.0,,,"[5, 14, 18]"
5,19,,,348.0,,,"[5, 19]"
6,0,,,327.0,,,"[6, 0]"
6,1,,,202.0,,,"[6, 3, 1]"
6,2,,,517.0,,,"[6, 2]"
6,3,,,30.0,,,"[6, 3]"
6,4,,,647.0,,,"[6, 4]"
6,5,,,266.0,,,"[6, 5]"
6,6,,,0.0,,,[6]
6,7,,,627.0,,,"[6, 3, 7]"
6,8,,,681.0,,,"[6, 0, 10, 17, 8]"
6,9,,,262.0,,,"[6, 3, 1, 9]"
6,10,,,353.0,,,"[6, 0, 10]"
6,11,,,206.0,,,"[6, 3, 11]"
6,12,,,505.0,,,"[6, 0, 10, 12]"
6,13,,,729.0,,,"[6, 0, 10, 13]"
6,14,,,442.0,,,"[6, 14]"
6,15,,,85.0,,,"[6, 15]"
6,16,,,540.0,,,"[6, 16]"
6,17,,,606.0,,,"[6, 0, 10, 17]"
6,18,,,568.0,,,"[6, 14, 18]"
6,19,,,494.0,,,"[6, 19]"
7,0,,,414.0,,,"[7, 12, 0]"
7,1,,,580.0,,,"[7, 9, 1]"
