source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,355.0,355.0,,"[0, 1]","[0, 1]",
0,2,1038.0,1038.0,,"[0, 10, 2]","[0, 10, 2]",
0,3,379.0,379.0,,"[0, 3]","[0, 3]",
0,4,729.0,729.0,,"[0, 4]","[0, 4]",
0,5,1064.0,1064.0,,"[0, 15, 5]","[0, 15, 5]",
0,6,547.0,547.0,,"[0, 3, 6]","[0, 3, 6]",
0,7,590.0,590.0,,"[0, 10, 17, 7]","[0, 10, 17, 7]",
0,8,503.0,503.0,,"[0, 8]","[0, 8]",
0,9,434.0,434.0,,"[0, 10, 9]","[0, 10, 9]",
0,10,106.0,106.0,,"[0, 10]","[0, 10]",
0,11,621.0,621.0,,"[0, 1, 11]","[0, 1, 11]",
0,12,817.0,817.0,,"[0, 10, 17, 12]","[0, 10, 17, 12]",
0,13,557.0,557.0,,"[0, 10, 13]","[0, 10, 13]",
0,14,737.0,737.0,,"[0, 14]","[0, 14]",
0,15,608.0,608.0,,"[0, 15]","[0, 15]",
0,16,763.0,763.0,,"[0, 10, 17, 16]","[0, 10, 17, 16]",
0,17,449.0,449.0,,"[0, 10, 17]","[0, 10, 17]",
0,18,833.0,833.0,,"[0, 4, 18]","[0, 4, 18]",
0,19,783.0,783.0,,"[0, 10, 19]","[0, 10, 19]",
1,0,776.0,776.0,,"[1, 11, 0]","[1, 11, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,1042.0,1042.0,,"[1, 14, 2]","[1, 14, 2]",
1,3,208.0,208.0,,"[1, 3]","[1, 3]",
1,4,1029.0,1029.0,,"[1, 14, 4]","[1, 14, 4]",
1,5,777.0,777.0,,"[1, 15, 5]","[1, 15, 5]",
1,6,376.0,376.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,863.0,863.0,,"[1, 10, 17, 7]","[1, 10, 17, 7]",
1,8,706.0,706.0,,"[1, 8]","[1, 8]",
1,9,466.0,466.0,,"[1, 3, 9]","[1, 3, 9]",
1,10,379.0,379.0,,"[1, 10]","[1, 10]",
1,11,266.0,266.0,,"[1, 11]","[1, 11]",
1,12,594.0,594.0,,"[1, 12]","[1, 12]",
1,13,785.0,785.0,,"[1, 13]","[1, 13]",
1,14,710.0,710.0,,"[1, 14]","[1, 14]",
1,15,321.0,321.0,,"[1, 15]","[1, 15]",
1,16,654.0,654.0,,"[1, 16]","[1, 16]",
1,17,722.0,722.0,,"[1, 10, 17]","[1, 10, 17]",
1,18,927.0,927.0,,"[1, 14, 18]","[1, 14, 18]",
1,19,711.0,711.0,,"[1, 19]","[1, 19]",
2,0,933.0,933.0,,"[2, 0]","[2, 0]",
2,1,854.0,854.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,710.0,710.0,,"[2, 3]","[2, 3]",
2,4,529.0,529.0,,"[2, 4]","[2, 4]",
2,5,290.0,290.0,,"[2, 5]","[2, 5]",
2,6,615.0,615.0,,"[2, 5, 6]","[2, 5, 6]",
2,7,872.0,872.0,,"[2, 7]","[2, 7]",
2,8,1100.0,1100.0,,"[2, 16, 8]","[2, 16, 8]",
2,9,836.0,836.0,,"[2, 5, 9]","[2, 5, 9]",
2,10,1039.0,1039.0,,"[2, 0, 10]","[2, 0, 10]",
2,11,980.0,980.0,,"[2, 5, 11]","[2, 5, 11]",
2,12,1142.0,1142.0,,"[2, 5, 12]","[2, 5, 12]",
2,13,1042.0,1042.0,,"[2, 13]","[2, 13]",
2,14,627.0,627.0,,"[2, 5, 14]","[2, 5, 14]",
2,15,733.0,733.0,,"[2, 5, 15]","[2, 5, 15]",
2,16,684.0,684.0,,"[2, 16]","[2, 16]",
2,17,959.0,959.0,,"[2, 16, 17]","[2, 16, 17]",
2,18,513.0,513.0,,"[2, 18]","[2, 18]",
2,19,661.0,661.0,,"[2, 5, 19]","[2, 5, 19]",
3,0,584.0,584.0,,"[3, 6, 0]","[3, 6, 0]",
3,1,379.0,379.0,,"[3, 9, 1]","[3, 9, 1]",
3,2,965.0,965.0,,"[3, 14, 2]","[3, 14, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,872.0,872.0,,"[3, 18, 4]","[3, 18, 4]",
3,5,724.0,724.0,,"[3, 15, 5]","[3, 15, 5]",
3,6,168.0,168.0,,"[3, 6]","[3, 6]",
3,7,871.0,871.0,,"[3, 9, 7]","[3, 9, 7]",
3,8,761.0,761.0,,"[3, 8]","[3, 8]",
3,9,258.0,258.0,,"[3, 9]","[3, 9]",
3,10,477.0,477.0,,"[3, 10]","[3, 10]",
3,11,523.0,523.0,,"[3, 15, 11]","[3, 15, 11]",
3,12,622.0,622.0,,"[3, 12]","[3, 12]",
3,13,856.0,856.0,,"[3, 13]","[3, 13]",
3,14,633.0,633.0,,"[3, 14]","[3, 14]",
3,15,268.0,268.0,,"[3, 15]","[3, 15]",
3,16,678.0,678.0,,"[3, 16]","[3, 16]",
