source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,,,0.0,,,[0]
0,1,,,284.0,,,"[0, 9, 1]"
0,2,,,724.0,,,"[0, 30, 19, 2]"
0,3,,,383.0,,,"[0, 30, 43, 3]"
0,4,,,527.0,,,"[0, 30, 23, 4]"
0,5,,,528.0,,,"[0, 30, 32, 31, 5]"
0,6,,,350.0,,,"[0, 30, 32, 6]"
0,7,,,347.0,,,"[0, 7]"
0,8,,,383.0,,,"[0, 30, 43, 8]"
0,9,,,281.0,,,"[0, 9]"
0,10,,,142.0,,,"[0, 30, 10]"
0,11,,,528.0,,,"[0, 9, 11]"
0,12,,,205.0,,,"[0, 12]"
0,13,,,373.0,,,"[0, 12, 24, 13]"
0,14,,,502.0,,,"[0, 30, 43, 47, 14]"
0,15,,,470.0,,,"[0, 30, 43, 15]"
0,16,,,422.0,,,"[0, 28, 16]"
0,17,,,360.0,,,"[0, 12, 24, 17]"
0,18,,,512.0,,,"[0, 30, 23, 4, 18]"
0,19,,,436.0,,,"[0, 30, 19]"
0,20,,,409.0,,,"[0, 30, 32, 20]"
0,21,,,212.0,,,"[0, 30, 10, 21]"
0,22,,,287.0,,,"[0, 22]"
0,23,,,297.0,,,"[0, 30, 23]"
0,24,,,236.0,,,"[0, 12, 24]"
0,25,,,599.0,,,"[0, 30, 23, 25]"
0,26,,,263.0,,,"[0, 30, 43, 26]"
0,27,,,278.0,,,"[0, 27]"
0,28,,,261.0,,,"[0, 28]"
0,29,,,665.0,,,"[0, 30, 40, 29]"
0,30,,,44.0,,,"[0, 30]"
0,31,,,295.0,,,"[0, 30, 32, 31]"
0,32,,,162.0,,,"[0, 30, 32]"
0,33,,,289.0,,,"[0, 30, 10, 21, 33]"
0,34,,,587.0,,,"[0, 30, 23, 4, 18, 44, 34]"
0,35,,,465.0,,,"[0, 35]"
0,36,,,312.0,,,"[0, 36]"
0,37,,,592.0,,,"[0, 30, 23, 37]"
0,38,,,452.0,,,"[0, 30, 43, 38]"
0,39,,,324.0,,,"[0, 39]"
0,40,,,160.0,,,"[0, 30, 40]"
0,41,,,381.0,,,"[0, 36, 41]"
0,42,,,723.0,,,"[0, 30, 23, 42]"
0,43,,,39.0,,,"[0, 30, 43]"
0,44,,,456.0,,,"[0, 30, 23, 4, 18, 44]"
0,45,,,506.0,,,"[0, 30, 43, 38, 45]"
0,46,,,242.0,,,"[0, 30, 46]"
0,47,,,401.0,,,"[0, 30, 43, 47]"
0,48,,,532.0,,,"[0, 12, 24, 13, 48]"
0,49,,,681.0,,,"[0, 30, 19, 49]"
1,0,,,281.0,,,"[1, 26, 0]"
1,1,,,0.0,,,[1]
1,2,,,708.0,,,"[1, 22, 27, 31, 2]"
1,3,,,365.0,,,"[1, 22, 27, 31, 3]"
1,4,,,693.0,,,"[1, 4]"
1,5,,,449.0,,,"[1, 22, 5]"
1,6,,,205.0,,,"[1, 6]"
1,7,,,590.0,,,"[1, 21, 7]"
1,8,,,627.0,,,"[1, 26, 40, 8]"
1,9,,,126.0,,,"[1, 9]"
1,10,,,398.0,,,"[1, 21, 10]"
1,11,,,309.0,,,"[1, 11]"
1,12,,,455.0,,,"[1, 12]"
1,13,,,623.0,,,"[1, 12, 24, 13]"
1,14,,,620.0,,,"[1, 6, 14]"
1,15,,,330.0,,,"[1, 6, 15]"
1,16,,,592.0,,,"[1, 6, 28, 16]"
1,17,,,607.0,,,"[1, 9, 17]"
1,18,,,678.0,,,"[1, 4, 18]"
1,19,,,590.0,,,"[1, 22, 27, 31, 38, 19]"
1,20,,,466.0,,,"[1, 22, 39, 20]"
1,21,,,419.0,,,"[1, 21]"
1,22,,,62.0,,,"[1, 22]"
1,23,,,557.0,,,"[1, 26, 40, 30, 23]"
1,24,,,486.0,,,"[1, 12, 24]"
1,25,,,859.0,,,"[1, 26, 40, 30, 23, 25]"
1,26,,,66.0,,,"[1, 26]"
1,27,,,187.0,,,"[1, 22, 27]"
1,28,,,431.0,,,"[1, 6, 28]"
1,29,,,804.0,,,"[1, 26, 40, 29]"
1,30,,,304.0,,,"[1, 26, 40, 30]"
1,31,,,241.0,,,"[1, 22, 27, 31]"
1,32,,,270.0,,,"[1, 32]"
1,33,,,424.0,,,"[1, 26, 33]"
1,34,,,753.0,,,"[1, 4, 18, 44, 34]"
1,35,,,713.0,,,"[1, 22, 27, 35]"
1,36,,,438.0,,,"[1, 36]"
1,37,,,798.0,,,"[1, 6, 28, 16, 37]"
1,38,,,548.0,,,"[1, 22, 27, 31, 38]"
1,39,,,265.0,,,"[1, 22, 39]"
1,40,,,299.0,,,"[1, 26, 40]"
1,41,,,474.0,,,"[1, 26, 41]"
1,42,,,941.0,,,"[1, 6, 28, 16, 42]"
1,43,,,299.0,,,"[1, 26, 40, 30, 43]"
1,44,,,622.0,,,"[1, 4, 18, 44]"
1,45,,,602.0,,,"[1, 22, 27, 31, 38, 45]"
1,46,,,502.0,,,"[1, 26, 40, 30, 46]"
1,47,,,560.0,,,"[1, 26, 47]"
1,48,,,726.0,,,"[1, 48]"
1,49,,,686.0,,,"[1, 22, 39, 49]"
2,0,,,680.0,,,"[2, 49, 20, 0]"
2,1,,,601.0,,,"[2, 49, 20, 6, 22, 1]"
2,2,,,0.0,,,[2]
2,3,,,624.0,,,"[2, 31, 3]"
2,4,,,619.0,,,"[2, 5, 38, 4]"
2,5,,,227.0,,,"[2, 5]"
2,6,,,390.0,,,"[2, 49, 20, 6]"
2,7,,,707.0,,,"[2, 49, 28, 46, 7]"
2,8,,,915.0,,,"[2, 49, 28, 8]"
2,9,,,638.0,,,"[2, 49, 20, 9]"
2,10,,,744.0,,,"[2, 49, 20, 21, 10]"
2,11,,,754.0,,,"[2, 49, 20, 6, 11]"
2,12,,,882.0,,,"[2, 49, 28, 46, 33, 12]"
2,13,,,853.0,,,"[2, 49, 17, 13]"
2,14,,,486.0,,,"[2, 47, 14]"
2,15,,,515.0,,,"[2, 49, 20, 6, 15]"
2,16,,,619.0,,,"[2, 49, 28, 16]"
2,17,,,782.0,,,"[2, 49, 17]"
2,18,,,530.0,,,"[2, 49, 18]"
2,19,,,469.0,,,"[2, 5, 38, 19]"
2,20,,,260.0,,,"[2, 49, 20]"
2,21,,,765.0,,,"[2, 49, 20, 21]"
2,22,,,480.0,,,"[2, 49, 20, 6, 22]"
2,23,,,730.0,,,"[2, 49, 28, 16, 23]"
2,24,,,913.0,,,"[2, 49, 28, 46, 33, 12, 24]"
2,25,,,926.0,,,"[2, 47, 25]"
2,26,,,667.0,,,"[2, 49, 20, 6, 22, 1, 26]"
2,27,,,552.0,,,"[2, 49, 39, 27]"
2,28,,,458.0,,,"[2, 49, 28]"
2,29,,,872.0,,,"[2, 49, 18, 29]"
2,30,,,656.0,,,"[2, 49, 30]"
2,31,,,500.0,,,"[2, 31]"
2,32,,,587.0,,,"[2, 49, 32]"
2,33,,,695.0,,,"[2, 49, 28, 46, 33]"
2,34,,,605.0,,,"[2, 49, 18, 44, 34]"
2,35,,,564.0,,,"[2, 49, 35]"
2,36,,,917.0,,,"[2, 49, 20, 21, 36]"
2,37,,,629.0,,,"[2, 49, 37]"
2,38,,,427.0,,,"[2, 5, 38]"
2,39,,,467.0,,,"[2, 49, 39]"
2,40,,,714.0,,,"[2, 49, 20, 40]"
2,41,,,946.0,,,"[2, 49, 28, 46, 33, 41]"
2,42,,,835.0,,,"[2, 42]"
2,43,,,651.0,,,"[2, 49, 30, 43]"
2,44,,,474.0,,,"[2, 49, 18, 44]"
2,45,,,481.0,,,"[2, 5, 38, 45]"
2,46,,,594.0,,,"[2, 49, 28, 46]"
2,47,,,385.0,,,"[2, 47]"
2,48,,,830.0,,,"[2, 49, 35, 48]"
2,49,,,13.0,,,"[2, 49]"
3,0,,,295.0,,,"[3, 30, 43, 0]"
3,1,,,337.0,,,"[3, 31, 9, 1]"
3,2,,,600.0,,,"[3, 31, 2]"
3,3,,,0.0,,,[3]
3,4,,,632.0,,,"[3, 31, 38, 4]"
3,5,,,366.0,,,"[3, 31, 5]"
3,6,,,368.0,,,"[3, 20, 6]"
3,7,,,548.0,,,"[3, 30, 46, 7]"
3,8,,,576.0,,,"[3, 30, 43, 8]"
3,9,,,334.0,,,"[3, 31, 9]"
3,10,,,335.0,,,"[3, 30, 10]"
3,11,,,505.0,,,"[3, 39, 11]"
3,12,,,500.0,,,"[3, 30, 43, 0, 12]"
3,13,,,668.0,,,"[3, 30, 43, 0, 12, 24, 13]"
3,14,,,522.0,,,"[3, 39, 47, 14]"
3,15,,,435.0,,,"[3, 39, 27, 15]"
3,16,,,482.0,,,"[3, 39, 28, 16]"
3,17,,,655.0,,,"[3, 30, 43, 0, 12, 24, 17]"
3,18,,,594.0,,,"[3, 39, 28, 18]"
3,19,,,482.0,,,"[3, 31, 38, 19]"
3,20,,,238.0,,,"[3, 20]"
3,21,,,405.0,,,"[3, 30, 10, 21]"
3,22,,,356.0,,,"[3, 39, 22]"
3,23,,,490.0,,,"[3, 30, 23]"
3,24,,,531.0,,,"[3, 30, 43, 0, 12, 24]"
3,25,,,792.0,,,"[3, 30, 23, 25]"
3,26,,,338.0,,,"[3, 39, 27, 26]"
3,27,,,209.0,,,"[3, 39, 27]"
3,28,,,321.0,,,"[3, 39, 28]"
3,29,,,819.0,,,"[3, 39, 29]"
3,30,,,237.0,,,"[3, 30]"
3,31,,,133.0,,,"[3, 31]"
3,32,,,355.0,,,"[3, 30, 32]"
3,33,,,473.0,,,"[3, 33]"
3,34,,,669.0,,,"[3, 39, 28, 18, 44, 34]"
3,35,,,609.0,,,"[3, 39, 28, 35]"
3,36,,,557.0,,,"[3, 30, 10, 21, 36]"
3,37,,,688.0,,,"[3, 39, 28, 16, 37]"
3,38,,,440.0,,,"[3, 31, 38]"
3,39,,,124.0,,,"[3, 39]"
3,40,,,353.0,,,"[3, 30, 40]"
3,41,,,532.0,,,"[3, 41]"
3,42,,,831.0,,,"[3, 39, 28, 16, 42]"
3,43,,,232.0,,,"[3, 30, 43]"
3,44,,,538.0,,,"[3, 39, 28, 18, 44]"
3,45,,,494.0,,,"[3, 31, 38, 45]"
3,46,,,435.0,,,"[3, 30, 46]"
3,47,,,421.0,,,"[3, 39, 47]"
3,48,,,737.0,,,"[3, 30, 23, 48]"
3,49,,,545.0,,,"[3, 39, 49]"
4,0,,,430.0,,,"[4, 18, 44, 16, 40, 30, 43, 0]"
4,1,,,586.0,,,"[4, 18, 44, 39, 27, 9, 1]"
4,2,,,398.0,,,"[4, 18, 44, 14, 19, 2]"
4,3,,,511.0,,,"[4, 18, 44, 31, 3]"
4,4,,,0.0,,,[4]
4,5,,,337.0,,,"[4, 18, 44, 14, 5]"
4,6,,,442.0,,,"[4, 18, 44, 14, 20, 6]"
4,7,,,181.0,,,"[4, 18, 44, 16, 7]"
4,8,,,435.0,,,"[4, 18, 44, 16, 7, 8]"
4,9,,,583.0,,,"[4, 18, 44, 39, 27, 9]"
4,10,,,392.0,,,"[4, 18, 44, 21, 10]"
4,11,,,710.0,,,"[4, 18, 44, 39, 11]"
4,12,,,543.0,,,"[4, 18, 46, 33, 12]"
4,13,,,386.0,,,"[4, 18, 44, 16, 7, 17, 13]"
4,14,,,82.0,,,"[4, 18, 44, 14]"
4,15,,,567.0,,,"[4, 18, 44, 14, 20, 6, 15]"
4,16,,,74.0,,,"[4, 18, 44, 16]"
4,17,,,315.0,,,"[4, 18, 44, 16, 7, 17]"
4,18,,,-15.0,,,"[4, 18]"
4,19,,,110.0,,,"[4, 18, 44, 14, 19]"
4,20,,,312.0,,,"[4, 18, 44, 14, 20]"
4,21,,,413.0,,,"[4, 18, 44, 21]"
4,22,,,532.0,,,"[4, 18, 44, 14, 20, 6, 22]"
4,23,,,185.0,,,"[4, 18, 44, 16, 23]"
4,24,,,432.0,,,"[4, 18, 44, 16, 24]"
4,25,,,395.0,,,"[4, 18, 29, 25]"
4,26,,,518.0,,,"[4, 18, 44, 26]"
4,27,,,414.0,,,"[4, 18, 44, 39, 27]"
4,28,,,297.0,,,"[4, 18, 44, 45, 28]"
4,29,,,327.0,,,"[4, 18, 29]"
4,30,,,372.0,,,"[4, 18, 44, 16, 40, 30]"
4,31,,,387.0,,,"[4, 18, 44, 31]"
