source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,,,0.0,,,[0]
0,1,,,198.0,,,"[0, 9, 1]"
0,2,,,751.0,,,"[0, 19, 2]"
0,3,,,310.0,,,"[0, 3]"
0,4,,,684.0,,,"[0, 10, 4]"
0,5,,,564.0,,,"[0, 9, 6, 5]"
0,6,,,298.0,,,"[0, 9, 6]"
0,7,,,348.0,,,"[0, 10, 7]"
0,8,,,354.0,,,"[0, 10, 17, 8]"
0,9,,,128.0,,,"[0, 9]"
0,10,,,26.0,,,"[0, 10]"
0,11,,,405.0,,,"[0, 9, 1, 11]"
0,12,,,178.0,,,"[0, 10, 12]"
0,13,,,402.0,,,"[0, 10, 13]"
0,14,,,499.0,,,"[0, 19, 14]"
0,15,,,383.0,,,"[0, 9, 6, 15]"
0,16,,,553.0,,,"[0, 10, 7, 16]"
0,17,,,279.0,,,"[0, 10, 17]"
0,18,,,573.0,,,"[0, 18]"
0,19,,,517.0,,,"[0, 19]"
1,0,,,220.0,,,"[1, 9, 0]"
1,1,,,0.0,,,[1]
1,2,,,880.0,,,"[1, 14, 2]"
1,3,,,185.0,,,"[1, 3]"
1,4,,,798.0,,,"[1, 4]"
1,5,,,496.0,,,"[1, 9, 6, 5]"
1,6,,,230.0,,,"[1, 9, 6]"
1,7,,,568.0,,,"[1, 9, 0, 10, 7]"
1,8,,,574.0,,,"[1, 9, 0, 10, 17, 8]"
1,9,,,60.0,,,"[1, 9]"
1,10,,,246.0,,,"[1, 9, 0, 10]"
1,11,,,207.0,,,"[1, 11]"
1,12,,,398.0,,,"[1, 9, 0, 10, 12]"
1,13,,,622.0,,,"[1, 9, 0, 10, 13]"
1,14,,,616.0,,,"[1, 14]"
1,15,,,249.0,,,"[1, 15]"
1,16,,,584.0,,,"[1, 16]"
1,17,,,499.0,,,"[1, 9, 0, 10, 17]"
1,18,,,678.0,,,"[1, 9, 18]"
1,19,,,689.0,,,"[1, 19]"
2,0,,,785.0,,,"[2, 5, 6, 0]"
2,1,,,717.0,,,"[2, 5, 9, 1]"
2,2,,,0.0,,,[2]
2,3,,,488.0,,,"[2, 5, 6, 3]"
2,4,,,431.0,,,"[2, 4]"
2,5,,,199.0,,,"[2, 5]"
2,6,,,458.0,,,"[2, 5, 6]"
2,7,,,755.0,,,"[2, 14, 16, 7]"
2,8,,,829.0,,,"[2, 14, 16, 17, 8]"
2,9,,,647.0,,,"[2, 5, 9]"
2,10,,,811.0,,,"[2, 5, 6, 0, 10]"
2,11,,,715.0,,,"[2, 5, 6, 15, 11]"
2,12,,,963.0,,,"[2, 5, 6, 0, 10, 12]"
2,13,,,929.0,,,"[2, 4, 13]"
2,14,,,259.0,,,"[2, 14]"
2,15,,,543.0,,,"[2, 5, 6, 15]"
2,16,,,535.0,,,"[2, 14, 16]"
2,17,,,754.0,,,"[2, 14, 16, 17]"
2,18,,,385.0,,,"[2, 14, 18]"
2,19,,,420.0,,,"[2, 14, 19]"
3,0,,,409.0,,,"[3, 9, 0]"
3,1,,,319.0,,,"[3, 9, 1]"
3,2,,,815.0,,,"[3, 14, 2]"
3,3,,,0.0,,,[3]
3,4,,,760.0,,,"[3, 6, 4]"
3,5,,,379.0,,,"[3, 6, 5]"
3,6,,,113.0,,,"[3, 6]"
3,7,,,745.0,,,"[3, 10, 7]"
3,8,,,670.0,,,"[3, 8]"
3,9,,,249.0,,,"[3, 9]"
3,10,,,423.0,,,"[3, 10]"
3,11,,,370.0,,,"[3, 6, 15, 11]"
3,12,,,553.0,,,"[3, 12]"
3,13,,,799.0,,,"[3, 10, 13]"
3,14,,,551.0,,,"[3, 14]"
3,15,,,198.0,,,"[3, 6, 15]"
3,16,,,654.0,,,"[3, 16]"
3,17,,,676.0,,,"[3, 10, 17]"
3,18,,,677.0,,,"[3, 14, 18]"
3,19,,,607.0,,,"[3, 6, 19]"
4,0,,,687.0,,,"[4, 18, 0]"
4,1,,,801.0,,,"[4, 1]"
4,2,,,443.0,,,"[4, 2]"
4,3,,,689.0,,,"[4, 18, 6, 3]"
4,4,,,0.0,,,[4]
4,5,,,533.0,,,"[4, 5]"
4,6,,,659.0,,,"[4, 18, 6]"
4,7,,,525.0,,,"[4, 16, 7]"
4,8,,,496.0,,,"[4, 8]"
4,9,,,740.0,,,"[4, 9]"
4,10,,,571.0,,,"[4, 10]"
4,11,,,881.0,,,"[4, 15, 11]"
4,12,,,715.0,,,"[4, 12]"
4,13,,,498.0,,,"[4, 13]"
4,14,,,197.0,,,"[4, 18, 14]"
4,15,,,709.0,,,"[4, 15]"
4,16,,,305.0,,,"[4, 16]"
4,17,,,426.0,,,"[4, 17]"
4,18,,,82.0,,,"[4, 18]"
4,19,,,358.0,,,"[4, 18, 14, 19]"
5,0,,,586.0,,,"[5, 6, 0]"
5,1,,,518.0,,,"[5, 9, 1]"
5,2,,,512.0,,,"[5, 14, 2]"
5,3,,,289.0,,,"[5, 6, 3]"
5,4,,,499.0,,,"[5, 14, 18, 4]"
5,5,,,0.0,,,[5]
5,6,,,259.0,,,"[5, 6]"
5,7,,,707.0,,,"[5, 7]"
5,8,,,808.0,,,"[5, 16, 17, 8]"
5,9,,,448.0,,,"[5, 9]"
5,10,,,612.0,,,"[5, 6, 0, 10]"
5,11,,,516.0,,,"[5, 6, 15, 11]"
5,12,,,764.0,,,"[5, 6, 0, 10, 12]"
5,13,,,916.0,,,"[5, 16, 17, 13]"
5,14,,,248.0,,,"[5, 14]"
5,15,,,344.0,,,"[5, 6, 15]"
5,16,,,514.0,,,"[5, 16]"
5,17,,,733.0,,,"[5, 16, 17]"
5,18,,,374.0,,,"[5, 14, 18]"
5,19,,,348.0,,,"[5, 19]"
6,0,,,327.0,,,"[6, 0]"
6,1,,,332.0,,,"[6, 1]"
6,2,,,728.0,,,"[6, 19, 2]"
6,3,,,30.0,,,"[6, 3]"
6,4,,,647.0,,,"[6, 4]"
6,5,,,266.0,,,"[6, 5]"
6,6,,,0.0,,,[6]
6,7,,,675.0,,,"[6, 0, 10, 7]"
6,8,,,681.0,,,"[6, 0, 10, 17, 8]"
6,9,,,279.0,,,"[6, 3, 9]"
6,10,,,353.0,,,"[6, 0, 10]"
6,11,,,257.0,,,"[6, 15, 11]"
6,12,,,505.0,,,"[6, 0, 10, 12]"
6,13,,,729.0,,,"[6, 0, 10, 13]"
6,14,,,476.0,,,"[6, 19, 14]"
6,15,,,85.0,,,"[6, 15]"
6,16,,,684.0,,,"[6, 3, 16]"
6,17,,,606.0,,,"[6, 0, 10, 17]"
6,18,,,602.0,,,"[6, 19, 14, 18]"
6,19,,,494.0,,,"[6, 19]"
7,0,,,414.0,,,"[7, 12, 0]"
7,1,,,580.0,,,"[7, 9, 1]"
7,2,,,689.0,,,"[7, 19, 2]"
7,3,,,606.0,,,"[7, 3]"
