source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,441.0,441.0,,"[0, 50, 1]","[0, 50, 1]",
0,2,1014.0,1014.0,,"[0, 112, 170, 2]","[0, 112, 170, 2]",
0,3,403.0,403.0,,"[0, 3]","[0, 3]",
0,4,752.0,752.0,,"[0, 43, 4]","[0, 43, 4]",
0,5,832.0,832.0,,"[0, 151, 179, 5]","[0, 151, 179, 5]",
0,6,547.0,547.0,,"[0, 6]","[0, 6]",
0,7,459.0,459.0,,"[0, 72, 7]","[0, 72, 7]",
0,8,488.0,488.0,,"[0, 8]","[0, 8]",
0,9,554.0,554.0,,"[0, 50, 9]","[0, 50, 9]",
0,10,419.0,419.0,,"[0, 10]","[0, 10]",
0,11,530.0,530.0,,"[0, 50, 11]","[0, 50, 11]",
0,12,290.0,290.0,,"[0, 12]","[0, 12]",
0,13,635.0,635.0,,"[0, 72, 13]","[0, 72, 13]",
0,14,681.0,681.0,,"[0, 14]","[0, 14]",
0,15,650.0,650.0,,"[0, 15]","[0, 15]",
0,16,525.0,525.0,,"[0, 16]","[0, 16]",
0,17,485.0,485.0,,"[0, 137, 17]","[0, 137, 17]",
0,18,703.0,703.0,,"[0, 110, 18]","[0, 110, 18]",
0,19,761.0,761.0,,"[0, 110, 19]","[0, 110, 19]",
0,20,668.0,668.0,,"[0, 151, 20]","[0, 151, 20]",
0,21,164.0,164.0,,"[0, 21]","[0, 21]",
0,22,373.0,373.0,,"[0, 22]","[0, 22]",
0,23,441.0,441.0,,"[0, 23]","[0, 23]",
0,24,392.0,392.0,,"[0, 21, 24]","[0, 21, 24]",
0,25,814.0,814.0,,"[0, 48, 25]","[0, 48, 25]",
0,26,459.0,459.0,,"[0, 160, 26]","[0, 160, 26]",
0,27,576.0,576.0,,"[0, 43, 58, 107, 27]","[0, 43, 58, 107, 27]",
0,28,369.0,369.0,,"[0, 28]","[0, 28]",
0,29,756.0,756.0,,"[0, 23, 29]","[0, 23, 29]",
0,30,358.0,358.0,,"[0, 43, 40, 30]","[0, 43, 40, 30]",
0,31,661.0,661.0,,"[0, 152, 31]","[0, 152, 31]",
0,32,479.0,479.0,,"[0, 43, 32]","[0, 43, 32]",
0,33,441.0,441.0,,"[0, 21, 33]","[0, 21, 33]",
0,34,763.0,763.0,,"[0, 34]","[0, 34]",
0,35,673.0,673.0,,"[0, 16, 35]","[0, 16, 35]",
0,36,282.0,282.0,,"[0, 36]","[0, 36]",
0,37,872.0,872.0,,"[0, 151, 37]","[0, 151, 37]",
0,38,669.0,669.0,,"[0, 28, 38]","[0, 28, 38]",
0,39,537.0,537.0,,"[0, 43, 39]","[0, 43, 39]",
0,40,289.0,289.0,,"[0, 43, 40]","[0, 43, 40]",
0,41,349.0,349.0,,"[0, 21, 41]","[0, 21, 41]",
0,42,894.0,894.0,,"[0, 23, 29, 42]","[0, 23, 29, 42]",
0,43,153.0,153.0,,"[0, 43]","[0, 43]",
0,44,701.0,701.0,,"[0, 151, 44]","[0, 151, 44]",
0,45,802.0,802.0,,"[0, 43, 45]","[0, 43, 45]",
0,46,573.0,573.0,,"[0, 43, 46]","[0, 43, 46]",
0,47,586.0,586.0,,"[0, 28, 47]","[0, 28, 47]",
0,48,569.0,569.0,,"[0, 48]","[0, 48]",
0,49,941.0,941.0,,"[0, 28, 158, 65, 49]","[0, 28, 158, 65, 49]",
0,50,315.0,315.0,,"[0, 50]","[0, 50]",
0,51,905.0,905.0,,"[0, 28, 158, 51]","[0, 28, 158, 51]",
0,52,472.0,472.0,,"[0, 160, 52]","[0, 160, 52]",
0,53,451.0,451.0,,"[0, 53]","[0, 53]",
0,54,867.0,867.0,,"[0, 54]","[0, 54]",
0,55,488.0,488.0,,"[0, 55]","[0, 55]",
0,56,589.0,589.0,,"[0, 28, 56]","[0, 28, 56]",
0,57,869.0,869.0,,"[0, 151, 179, 127, 57]","[0, 151, 179, 127, 57]",
