source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,967.0,967.0,,"[0, 7, 1]","[0, 7, 1]",
0,2,924.0,924.0,,"[0, 5, 2]","[0, 5, 2]",
0,3,426.0,426.0,,"[0, 3]","[0, 3]",
0,4,648.0,648.0,,"[0, 7, 4]","[0, 7, 4]",
0,5,572.0,572.0,,"[0, 5]","[0, 5]",
0,6,399.0,399.0,,"[0, 6]","[0, 6]",
0,7,301.0,301.0,,"[0, 7]","[0, 7]",
0,8,365.0,365.0,,"[0, 8]","[0, 8]",
0,9,664.0,664.0,,"[0, 6, 9]","[0, 6, 9]",
1,0,321.0,321.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,829.0,829.0,,"[1, 5, 2]","[1, 5, 2]",
1,3,106.0,106.0,,"[1, 3]","[1, 3]",
1,4,864.0,864.0,,"[1, 3, 4]","[1, 3, 4]",
1,5,477.0,477.0,,"[1, 5]","[1, 5]",
1,6,221.0,221.0,,"[1, 3, 6]","[1, 3, 6]",
1,7,622.0,622.0,,"[1, 7]","[1, 7]",
1,8,686.0,686.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,107.0,107.0,,"[1, 9]","[1, 9]",
2,0,854.0,854.0,,"[2, 0]","[2, 0]",
2,1,880.0,880.0,,"[2, 1]","[2, 1]",
2,2,0.0,0.0,,[2],[2],
2,3,604.0,604.0,,"[2, 6, 3]","[2, 6, 3]",
2,4,593.0,593.0,,"[2, 4]","[2, 4]",
2,5,342.0,342.0,,"[2, 5]","[2, 5]",
2,6,548.0,548.0,,"[2, 6]","[2, 6]",
2,7,1155.0,1169.0,,"[2, 0, 7]","[2, 6, 7]",
2,8,1058.0,1058.0,,"[2, 8]","[2, 8]",
2,9,738.0,738.0,,"[2, 9]","[2, 9]",
3,0,1438.0,1438.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,1402.0,1402.0,,"[3, 6, 7, 1]","[3, 6, 7, 1]",
3,2,751.0,751.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,758.0,758.0,,"[3, 4]","[3, 4]",
3,5,1093.0,1093.0,,"[3, 2, 5]","[3, 2, 5]",
3,6,115.0,115.0,,"[3, 6]","[3, 6]",
