source,target,dijkstra_distance,astar_distance,bford_distance,dijkstra_path,astar_path,bford_path
0,0,0.0,0.0,,[0],[0],
0,1,inf,inf,,None,None,
0,2,866.0,866.0,,"[0, 2]","[0, 2]",
0,3,1186.0,1186.0,,"[0, 8, 3]","[0, 8, 3]",
0,4,646.0,646.0,,"[0, 4]","[0, 4]",
0,5,1095.0,1095.0,,"[0, 7, 5]","[0, 7, 5]",
0,6,1199.0,1199.0,,"[0, 8, 6]","[0, 8, 6]",
0,7,392.0,392.0,,"[0, 7]","[0, 7]",
0,8,435.0,435.0,,"[0, 8]","[0, 8]",
0,9,1676.0,1676.0,,"[0, 2, 9]","[0, 2, 9]",
1,0,272.0,272.0,,"[1, 0]","[1, 0]",
1,1,0.0,0.0,,[1],[1],
1,2,883.0,883.0,,"[1, 9, 2]","[1, 9, 2]",
1,3,1458.0,1458.0,,"[1, 0, 8, 3]","[1, 0, 8, 3]",
1,4,918.0,918.0,,"[1, 0, 4]","[1, 0, 4]",
1,5,539.0,539.0,,"[1, 5]","[1, 5]",
1,6,338.0,338.0,,"[1, 9, 6]","[1, 9, 6]",
1,7,631.0,631.0,,"[1, 9, 7]","[1, 9, 7]",
1,8,707.0,707.0,,"[1, 0, 8]","[1, 0, 8]",
1,9,73.0,73.0,,"[1, 9]","[1, 9]",
2,0,2400.0,2400.0,,"[2, 9, 7, 4, 0]","[2, 9, 7, 4, 0]",
2,1,inf,inf,,None,None,
2,2,0.0,0.0,,[2],[2],
2,3,2317.0,2317.0,,"[2, 9, 7, 8, 3]","[2, 9, 7, 8, 3]",
2,4,1754.0,1754.0,,"[2, 9, 7, 4]","[2, 9, 7, 4]",
2,5,2071.0,2071.0,,"[2, 9, 7, 5]","[2, 9, 7, 5]",
2,6,1075.0,1075.0,,"[2, 9, 6]","[2, 9, 6]",
2,7,1368.0,1368.0,,"[2, 9, 7]","[2, 9, 7]",
2,8,1566.0,1566.0,,"[2, 9, 7, 8]","[2, 9, 7, 8]",
2,9,810.0,810.0,,"[2, 9]","[2, 9]",
3,0,1363.0,1363.0,,"[3, 4, 0]","[3, 4, 0]",
3,1,inf,inf,,None,None,
3,2,693.0,693.0,,"[3, 2]","[3, 2]",
3,3,0.0,0.0,,[3],[3],
3,4,717.0,717.0,,"[3, 4]","[3, 4]",
3,5,2458.0,2458.0,,"[3, 4, 0, 7, 5]","[3, 4, 0, 7, 5]",
3,6,1768.0,1768.0,,"[3, 2, 9, 6]","[3, 2, 9, 6]",
3,7,1755.0,1755.0,,"[3, 4, 0, 7]","[3, 4, 0, 7]",
3,8,1798.0,1798.0,,"[3, 4, 0, 8]","[3, 4, 0, 8]",
3,9,1503.0,1503.0,,"[3, 2, 9]","[3, 2, 9]",
4,0,646.0,646.0,,"[4, 0]","[4, 0]",
4,1,inf,inf,,None,None,
4,2,1410.0,1410.0,,"[4, 3, 2]","[4, 3, 2]",
4,3,717.0,717.0,,"[4, 3]","[4, 3]",
4,4,0.0,0.0,,[4],[4],
4,5,1741.0,1741.0,,"[4, 0, 7, 5]","[4, 0, 7, 5]",
4,6,1845.0,1845.0,,"[4, 0, 8, 6]","[4, 0, 8, 6]",
4,7,1038.0,1038.0,,"[4, 0, 7]","[4, 0, 7]",
4,8,1081.0,1081.0,,"[4, 0, 8]","[4, 0, 8]",
4,9,2220.0,2220.0,,"[4, 3, 2, 9]","[4, 3, 2, 9]",
5,0,1181.0,1181.0,,"[5, 4, 0]","[5, 4, 0]",
5,1,inf,inf,,None,None,
5,2,1945.0,1945.0,,"[5, 4, 3, 2]","[5, 4, 3, 2]",
5,3,1252.0,1252.0,,"[5, 4, 3]","[5, 4, 3]",
5,4,535.0,535.0,,"[5, 4]","[5, 4]",
5,5,0.0,0.0,,[5],[5],
5,6,2380.0,2380.0,,"[5, 4, 0, 8, 6]","[5, 4, 0, 8, 6]",
5,7,1573.0,1573.0,,"[5, 4, 0, 7]","[5, 4, 0, 7]",
5,8,1616.0,1616.0,,"[5, 4, 0, 8]","[5, 4, 0, 8]",
5,9,2755.0,2755.0,,"[5, 4, 3, 2, 9]","[5, 4, 3, 2, 9]",
6,0,1660.0,1660.0,,"[6, 7, 4, 0]","[6, 7, 4, 0]",
6,1,inf,inf,,None,None,
